compound_name,compound_type,formula,stan_mz,stan_rt,mix,conc_um,date_added,name_old,kegg_id,polarity,peak_quality
(3-Carboxypropyl)trimethylammonium,Betaine,C7H16NO2,146.118104,9.91,Mix1,4,190715,(3-Carboxypropyl)trimethylammonium (TMAB),cpd:C01181,pos,"Problematic; RT is consistent around 9 minutes, same mass as Acetylcholine"
"(R)-2,3-Dihydroxypropane-1-sulfonate",Sulfur,C3H8O5S,155.001422,10.67,Mix2,4,160401,DHPS,cpd:C19675,neg,Problematic; messy peak shape in particulate matrix
(S)-3-Hydroxybutyryl-CoA,Co-enzyme A,C25H42N7O18P3S,852.144174,11.545,Mix1,4,160401,Hydroxybutyryl CoA,cpd:C01144,neg,No; not currently in HILIC standard mix
1-Propanesulfonate,Sulfur,C3H7O3S,123.011592,2.81,Mix2,4,160401,Propanesulfonate,NA,neg,Yes
"2,3-Pyridinedicarboxylic acid",Pyrimidine derivative,C7H5NO4,168.029684,10.17,Mix1,5,190715,Pyridinedicarboxylic acid,cpd:C03722,pos,Yes
"2,5-Dihydroxybenzoic acid",Lignin,C7H6O4,153.018785,4.08,Mix2,4.8,160401,Resorcylic Acid,cpd:C00628,neg,Yes
2-Heptyl-3-hydroxy-quinolone,Quorum sensing,C16H21NO2,260.165054,2.16,Mix1,4,160401,PQS,cpd:C11848,pos,Yes
2-Hydroxy-4-(methylthio)butyric acid,Sulfur,C5H10O3S,149.027242,2.69,Mix1,5,170331,2-Hydroxy-4-(methylthio)butyric_acid,NA,neg,Yes; can have a messy peak shape
2-keto-4-methylthiobutyric acid,Sulfur,C5H7O3S,147.011592,2.59,Mix1,5,170331,Keto-?-(methylthio)butyric acid,cpd:C01180,neg,Yes
2-Ketoglutaric acid,Organic Acid,C5H6O5,145.0137,10.845,Mix1,4,160401,Ketoglutaric Acid,cpd:C00026,neg,Yes
2-O-alpha-D-Glucosylglycerol,Osmolyte,C9H18O8,255.107995,10.1,Mix2,4,160401,Glucosylglycerol,cpd:C11546,pos,Yes
"3',5'-Cyclic AMP",Intracellular signaling,C10H12N5O6P,328.044698,4.06,Mix2,4,160401,cAMP,cpd:C00575,neg,Yes; can have a messy peak shape
"3',5'-Cyclic diGMP",Intracellular signaling,C20H24N10O14P2,689.087051,13.74,Mix2,4,160401,Cyclic diGMP,cpd:C16463,neg,Yes
"3',5'-Cyclic GMP",Intracellular signaling,C10H12N5O7P,344.039613,8.8,Mix2,4,160401,cGMP,cpd:C00942,neg,Yes
3-Aminopropanesulfonate,Sulfur,C3H9NO3S,138.022491,11.49,Mix2,4,160401,Amino Propanesulfonic Acid,cpd:C03349,neg,Problematic; later peak around 12 minutes
3-Phosphoglycerate,Sugar phosphate,C3H7O7P,184.985118,14.755,Mix1,4,180130,Phosphoglyceric Acid,cpd:C00597,neg,Problematic; particulate matrix effect
