Raw_file_name	Sample_ID	Sample_type	Species_strain	Broad_taxon	MS_run
211102_Poo_TruePooCyanos_Full1.mzML	211102_Poo_TruePooCyanos_Full1.mzML	QC Pooled	NA	NA	Cyanos
211102_Poo_TruePooCyanos_Full2.mzML	211102_Poo_TruePooCyanos_Full2.mzML	QC Pooled	NA	NA	Cyanos
211102_Poo_TruePooCyanos_Full3.mzML	211102_Poo_TruePooCyanos_Full3.mzML	QC Pooled	NA	NA	Cyanos
211102_Poo_TruePooCyanos_Half1.mzML	211102_Poo_TruePooCyanos_Half1.mzML	QC Pooled	NA	NA	Cyanos
211102_Poo_TruePooCyanos_Half2.mzML	211102_Poo_TruePooCyanos_Half2.mzML	QC Pooled	NA	NA	Cyanos
211102_Poo_TruePooCyanos_Half3.mzML	211102_Poo_TruePooCyanos_Half3.mzML	QC Pooled	NA	NA	Cyanos
211102_Poo_TruePooDiatoms_Full1.mzML	211102_Poo_TruePooDiatoms_Full1.mzML	QC Pooled	NA	NA	Diatom
211102_Poo_TruePooDiatoms_Full2.mzML	211102_Poo_TruePooDiatoms_Full2.mzML	QC Pooled	NA	NA	Diatom
211102_Poo_TruePooDiatoms_Full3.mzML	211102_Poo_TruePooDiatoms_Full3.mzML	QC Pooled	NA	NA	Diatom
211102_Poo_TruePooDiatoms_Half1.mzML	211102_Poo_TruePooDiatoms_Half1.mzML	QC Pooled	NA	NA	Diatom
211102_Poo_TruePooDiatoms_Half2.mzML	211102_Poo_TruePooDiatoms_Half2.mzML	QC Pooled	NA	NA	Diatom
211102_Poo_TruePooDiatoms_Half3.mzML	211102_Poo_TruePooDiatoms_Half3.mzML	QC Pooled	NA	NA	Diatom
211102_Poo_TruePooDinosGreens_Full1.mzML	211102_Poo_TruePooDinosGreens_Full1.mzML	QC Pooled	NA	NA	DinosGreens
211102_Poo_TruePooDinosGreens_Full2.mzML	211102_Poo_TruePooDinosGreens_Full2.mzML	QC Pooled	NA	NA	DinosGreens
211102_Poo_TruePooDinosGreens_Full3.mzML	211102_Poo_TruePooDinosGreens_Full3.mzML	QC Pooled	NA	NA	DinosGreens
211102_Poo_TruePooDinosGreens_Half1.mzML	211102_Poo_TruePooDinosGreens_Half1.mzML	QC Pooled	NA	NA	DinosGreens
211102_Poo_TruePooDinosGreens_Half2.mzML	211102_Poo_TruePooDinosGreens_Half2.mzML	QC Pooled	NA	NA	DinosGreens
211102_Poo_TruePooDinosGreens_Half3.mzML	211102_Poo_TruePooDinosGreens_Half3.mzML	QC Pooled	NA	NA	DinosGreens
211215_Blk_MediaBlk_A_pos.mzML	211215_Blk_MediaBlk_A_pos.mzML	Blank	NA	NA	NA
211215_Blk_MediaBlk_B_pos.mzML	211215_Blk_MediaBlk_B_pos.mzML	Blank	NA	NA	NA
211215_Blk_MediaBlk_Fc_pos.mzML	211215_Blk_MediaBlk_Fc_pos.mzML	Blank	NA	NA	NA
211215_Blk_MediaBlk_Pc55x_pos.mzML	211215_Blk_MediaBlk_Pc55x_pos.mzML	Blank	NA	NA	NA
211215_Blk_MediaBlk_Z_pos.mzML	211215_Blk_MediaBlk_Z_pos.mzML	Blank	NA	NA	NA
211215_Smp_Cy_A_pos.mzML	211215_Smp_Cy_A_pos.mzML	Sample	Cyclotella meneghiniana CCMP 338	Diatoms	Diatom
211215_Smp_Cy_B_pos.mzML	211215_Smp_Cy_B_pos.mzML	Sample	Cyclotella meneghiniana CCMP 338	Diatoms	Diatom
211215_Smp_Cy_C_pos.mzML	211215_Smp_Cy_C_pos.mzML	Sample	Cyclotella meneghiniana CCMP 338	Diatoms	Diatom
211215_Smp_Fc_A_pos.mzML	211215_Smp_Fc_A_pos.mzML	Sample	Fragilariopsis cylindrus CCMP3383	Diatoms	Diatom
211215_Smp_Fc_B_pos.mzML	211215_Smp_Fc_B_pos.mzML	Sample	Fragilariopsis cylindrus CCMP3383	Diatoms	Diatom
211215_Smp_Fc_C_pos.mzML	211215_Smp_Fc_C_pos.mzML	Sample	Fragilariopsis cylindrus CCMP3383	Diatoms	Diatom
211215_Smp_Np_A_pos.mzML	211215_Smp_Np_A_pos.mzML	Sample	Navicula pelliculosa CCMP543	Diatoms	Diatom
211215_Smp_Np_C_pos.mzML	211215_Smp_Np_C_pos.mzML	Sample	Navicula pelliculosa CCMP543	Diatoms	Diatom
211215_Smp_Np_F_pos.mzML	211215_Smp_Np_F_pos.mzML	Sample	Navicula pelliculosa CCMP543	Diatoms	Diatom
211215_Smp_Pc55x_A_pos.mzML	211215_Smp_Pc55x_A_pos.mzML	Sample	Pseudo-nitzschia pungens Pc55x	Diatoms	Diatom
211215_Smp_Pc55x_B_pos.mzML	211215_Smp_Pc55x_B_pos.mzML	Sample	Pseudo-nitzschia pungens Pc55x	Diatoms	Diatom
211215_Smp_Pc55x_C_pos.mzML	211215_Smp_Pc55x_C_pos.mzML	Sample	Pseudo-nitzschia pungens Pc55x	Diatoms	Diatom
211215_Smp_Pt_C_pos.mzML	211215_Smp_Pt_C_pos.mzML	Sample	Phaeodactylum tricornutum CCMP2561	Diatoms	Diatom
211215_Smp_Pt_F_pos.mzML	211215_Smp_Pt_F_pos.mzML	Sample	Phaeodactylum tricornutum CCMP2561	Diatoms	Diatom
211215_Smp_To_A_pos.mzML	211215_Smp_To_A_pos.mzML	Sample	Thalassiosira oceanica CCMP 1005	Diatoms	Diatom
211215_Smp_To_B_pos.mzML	211215_Smp_To_B_pos.mzML	Sample	Thalassiosira oceanica CCMP 1005	Diatoms	Diatom
211215_Smp_To_C_pos.mzML	211215_Smp_To_C_pos.mzML	Sample	Thalassiosira oceanica CCMP 1005	Diatoms	Diatom
211215_Smp_Tp_A_pos.mzML	211215_Smp_Tp_A_pos.mzML	Sample	Thalassiosira pseudonana CCMP1335	Diatoms	Diatom
211215_Smp_Tp_E_pos.mzML	211215_Smp_Tp_E_pos.mzML	Sample	Thalassiosira pseudonana CCMP1335	Diatoms	Diatom
211215_Smp_Tp_F_pos.mzML	211215_Smp_Tp_F_pos.mzML	Sample	Thalassiosira pseudonana CCMP1335	Diatoms	Diatom
211215_Std_4uMStdsMix1InH2O_1.mzML	211215_Std_4uMStdsMix1InH2O_1.mzML	Standard mix	NA	NA	NA
211215_Std_4uMStdsMix1InH2O_2.mzML	211215_Std_4uMStdsMix1InH2O_2.mzML	Standard mix	NA	NA	NA
211215_Std_4uMStdsMix1InMatrix_1.mzML	211215_Std_4uMStdsMix1InMatrix_1.mzML	Standard mix	NA	NA	NA
211215_Std_4uMStdsMix1InMatrix_2.mzML	211215_Std_4uMStdsMix1InMatrix_2.mzML	Standard mix	NA	NA	NA
211215_Std_4uMStdsMix2InH2O_1.mzML	211215_Std_4uMStdsMix2InH2O_1.mzML	Standard mix	NA	NA	NA
211215_Std_4uMStdsMix2InH2O_2.mzML	211215_Std_4uMStdsMix2InH2O_2.mzML	Standard mix	NA	NA	NA
211215_Std_4uMStdsMix2InMatrix_1.mzML	211215_Std_4uMStdsMix2InMatrix_1.mzML	Standard mix	NA	NA	NA
