mz_rt	190715_Blk_KM1906U14-Blk_C.mzML	190715_Poo_TruePooFK180310_Full1.mzML	190715_Poo_TruePooFK180310_Full2.mzML	190715_Poo_TruePooFK180310_Full3.mzML	190715_Poo_TruePooFK180310_Half1.mzML	190715_Poo_TruePooFK180310_Half2.mzML	190715_Poo_TruePooFK180310_Half3.mzML	190715_Smp_FK180310S62C1-25m_A.mzML	190715_Smp_FK180310S62C1-25m_B.mzML	190715_Smp_FK180310S62C1-25m_C.mzML	190715_Smp_FK180310S62C1-DCM_A.mzML	190715_Smp_FK180310S62C1-DCM_B.mzML	190715_Smp_FK180310S62C1-DCM_C.mzML	190715_Smp_FK180310S64C1-25m_A.mzML	190715_Smp_FK180310S64C1-25m_B.mzML	190715_Smp_FK180310S64C1-25m_C.mzML	190715_Smp_FK180310S64C1-DCM_A.mzML	190715_Smp_FK180310S64C1-DCM_B.mzML	190715_Smp_FK180310S64C1-DCM_C.mzML	190715_Smp_FK180310S77C1-25m_A.mzML	190715_Smp_FK180310S77C1-25m_B.mzML	190715_Smp_FK180310S77C1-25m_C.mzML	190715_Smp_FK180310S77C1-DCM_A.mzML	190715_Smp_FK180310S77C1-DCM_B.mzML	190715_Smp_FK180310S77C1-DCM_C.mzML	190715_Smp_FK180310S80C1-25m_A.mzML	190715_Smp_FK180310S80C1-25m_B.mzML	190715_Smp_FK180310S80C1-25m_C.mzML	190715_Smp_FK180310S80C1-DCM_A.mzML	190715_Smp_FK180310S80C1-DCM_B.mzML	190715_Smp_FK180310S80C1-DCM_C.mzML	190715_Std_4uMStdsMix1InH2O_1.mzML	190715_Std_4uMStdsMix1InH2O_2.mzML	190715_Std_4uMStdsMix1InMatrix_1.mzML	190715_Std_4uMStdsMix1InMatrix_2.mzML	190715_Std_4uMStdsMix2InH2O_1.mzML	190715_Std_4uMStdsMix2InH2O_2.mzML	190715_Std_4uMStdsMix2InMatrix_1.mzML	190715_Std_4uMStdsMix2InMatrix_2.mzML	190715_Std_H2OinMatrix_1.mzML	190715_Std_H2OinMatrix_2.mzML
71.01263_4.14	918222.498008641	19390915.6581534	18363736.8521467	21141624.2639805	12317876.4560788	19578763.7285613	15418243.4348016	84285324.7451652	42849144.8083323	26984547.3258224	222182.755422938	16727034.8245104	14573771.3382662	23566163.0535197	22473814.6418869	37153461.3188157	6280200.0951113	13020926.822004	11525261.2754926	13987893.295314	17508188.5269809	14441524.9791659	3561457.66946208	8714906.02313613	10871966.8564224	16744892.2757728	23756767.7681144	26129362.6737542	7968599.56902487	15031869.4061032	14372207.7977071	NA	NA	15809397.1851005	29700746.1953807	NA	NA	6972187.80263803	5716440.12583333	20132144.4028296	19400527.8607116
99.00759_2.29	0	0	0	80099.6797613866	0	0	268930.598519316	58338.2581150183	0	0	0	45021.9641379924	0	83946.5346678739	128165.706805961	0	0	173891.581468208	43252.8229590636	375116.697951076	0	0	0	0	220639.323062495	0	0	0	68110.8232597986	271453.481405256	0	NA	NA	7967728.06779257	5905356.48401104	NA	NA	44974232.3741275	59944128.6543645	42037.9580635996	0
102.0266_5.97	0	0	0	41602.0019581107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53295.3656397501	0	0	0	0	730081768249.345	53980068152.2708	1279129691.43394	1406655089.12101	0	0
104.04228_6.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32973.3774703249	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	54360391.9472977	87608159.8844871	0	0
108.99536_4.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	349568022.57059	666662902.836168	0	0
109.02836_4.02	0	66920.8115448224	59552.1155850251	107204.473591754	0	105797.742462339	68702.7135786647	51811.5682635811	70209.2294584236	0	114611.932870741	0	0	63330.8456693849	0	94844.6773152376	64199.309961656	41001.766591666	69616.2334644129	0	49760.3856429559	0	41094.6651024368	56385.7095049039	95054.96170832	38243.6898342491	46300.7338486231	45858.4169165554	59026.3425974666	55214.2450704223	106163.456460375	NA	NA	0	0	NA	NA	34484058.0418846	34327298.3297174	0	0
116.92746_15.82	8852383.80917396	31853066.0887826	22972164.5506315	34369122.405297	29002315.0940772	38058779.5994012	32005354.7573128	38522553.0532236	16950572.5615724	20300723.6792716	11087299.8611663	21748341.1801934	23725621.4791795	23301810.4451127	26897500.2887471	51592907.3397349	78406474.8125441	17156838.7993275	14300059.6974992	16994267.7472799	47405952.2722504	23168101.2858174	24422165.1026533	96427032.8677206	17460304.0040281	45136326.1043004	37844017.9072529	23263213.5119328	36113600.005686	22450972.9527972	20748307.5085726	NA	NA	18946801.9013495	14581862.4785307	NA	NA	11515518.4113542	8128150.63021425	17875793.8717958	12671458.9689431
119.01614_3.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	76276883.4376533	157541698.873061	NA	NA	0	0	0	0
122.02371_6.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48503.6438195628	0	0	0	0	0	0	0	0	0	0	NA	NA	76909.6048312545	0	NA	NA	44063142.7291556	0	138965.227313804	0
123.01106_3.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	421236537.714515	791967824.864142	0	0
