compound_name	190715_Std_4uMStdsMix1InH2O_1.mzML	190715_Std_4uMStdsMix1InH2O_2.mzML	190715_Std_4uMStdsMix1InMatrix_1.mzML	190715_Std_4uMStdsMix1InMatrix_2.mzML	190715_Std_4uMStdsMix2InH2O_1.mzML	190715_Std_4uMStdsMix2InH2O_2.mzML	190715_Std_4uMStdsMix2InMatrix_1.mzML	190715_Std_4uMStdsMix2InMatrix_2.mzML	190715_Std_H2OinMatrix_1.mzML	190715_Std_H2OinMatrix_2.mzML	190715_Blk_KM1906U14-Blk_C.mzML	190715_Poo_TruePooFK180310_Full1.mzML	190715_Poo_TruePooFK180310_Full2.mzML	190715_Poo_TruePooFK180310_Full3.mzML	190715_Poo_TruePooFK180310_Half1.mzML	190715_Poo_TruePooFK180310_Half2.mzML	190715_Poo_TruePooFK180310_Half3.mzML	190715_Smp_FK180310S62C1-25m_A.mzML	190715_Smp_FK180310S62C1-25m_B.mzML	190715_Smp_FK180310S62C1-25m_C.mzML	190715_Smp_FK180310S62C1-DCM_A.mzML	190715_Smp_FK180310S62C1-DCM_B.mzML	190715_Smp_FK180310S62C1-DCM_C.mzML	190715_Smp_FK180310S64C1-25m_A.mzML	190715_Smp_FK180310S64C1-25m_B.mzML	190715_Smp_FK180310S64C1-25m_C.mzML	190715_Smp_FK180310S64C1-DCM_A.mzML	190715_Smp_FK180310S64C1-DCM_B.mzML	190715_Smp_FK180310S64C1-DCM_C.mzML	190715_Smp_FK180310S77C1-25m_A.mzML	190715_Smp_FK180310S77C1-25m_B.mzML	190715_Smp_FK180310S77C1-25m_C.mzML	190715_Smp_FK180310S77C1-DCM_A.mzML	190715_Smp_FK180310S77C1-DCM_B.mzML	190715_Smp_FK180310S77C1-DCM_C.mzML	190715_Smp_FK180310S80C1-25m_A.mzML	190715_Smp_FK180310S80C1-25m_B.mzML	190715_Smp_FK180310S80C1-25m_C.mzML	190715_Smp_FK180310S80C1-DCM_A.mzML	190715_Smp_FK180310S80C1-DCM_B.mzML	190715_Smp_FK180310S80C1-DCM_C.mzML
(3-Carboxypropyl)trimethylammonium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00145	0.01307	0.01338	0.01178	0.01246	0.01338	0.01273	0.0292	0.01531	0.02026	0.006826	0.02014	0.01068	0.01314	0.02403	0.01785	0.008057	0.008945	0.01136	0.00694	0.009122	0.009376	0.01131	0.009149	0.009113	0.008802	0.01717	0.0158	0.006061	0.01137	0.01399
2-O-alpha-D-Glucosylglycerol	0	0	0.1399	0.06248	0.3145	0.2812	0.5235	0.3185	0.1313	0.07072	0	0.02783	0.03912	0.0233	0.03666	0.03786	0.01064	0.06451	0.04633	0.02855	0.004652	0.07419	0.06314	0.01326	0.05993	0.06774	0.0557	0.05837	0.05405	0.004605	0.006495	0.01177	0.002081	0.01893	0.007964	0.00543	0.09319	0.06338	0.007793	0.03963	0.0621
4-Aminopentanoic acid	0.3306	0.3086	0.3575	0.3137	0.00697	0.001473	0.01771	0.01447	0.02271	0.008545	0.001001	0.02301	0.01266	0.02053	0.02238	0.01208	0.03238	0.01326	0.01273	0.01681	0.01142	0.02762	0.01956	0.01207	0.02047	0.02659	0.00697	0.01103	0.01495	0.008893	0.03023	0.0326	0.02896	0.01147	0.009584	0.01717	0.01265	0.01098	0.008286	0.01105	0.01226
5-Hydroxyectoine	1.644e-05	3.687e-06	8.904e-05	0.0001052	0.00844	0.008271	0.008524	0.007742	0.00017	9.577e-05	2.678e-05	0.000326	0.0003226	0.0003121	0.000356	0.0003088	0.0003822	0.0004532	0.0002292	0.0003823	0.0003053	0.001159	0.0003703	0.000293	0.0002766	0.0003528	0.0003353	0.0003573	0.0004039	0.0001246	0.0001487	0.0001117	0.0005162	0.0004154	0.0004734	0.0001095	0.0002355	0.000255	0.0001621	0.0003728	0.0005144
Acetylcholine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.279e-05	0.002533	0.002716	0.002508	0.002804	0.002506	0.002671	0.005111	0.003128	0.006802	0.00154	0.003617	0.00237	0.002865	0.002704	0.00356	0.001685	0.002061	0.002092	0.001828	0.002045	0.001981	0.002164	0.002056	0.002059	0.001824	0.002344	0.003115	0.00212	0.002592	0.003211
Adenine	1077	353.9	0.673	0.7493	20.41	1.947	0.06549	0.1475	0.03263	0.03632	0.0008315	0.009289	0.009014	0.009273	0.008874	0.009604	0.009919	0.02089	0.01237	0.01629	0.003688	0.01422	0.01097	0.007863	0.01485	0.01451	0.008191	0.009342	0.005366	0.007735	0.00888	0.007201	0.002349	0.006202	0.006858	0.008899	0.009219	0.01203	0.006818	0.00801	0.007039
Adenosine	NA	NA	0.1069	0.1098	NA	NA	0.4504	0.4884	0.1007	0.09103	0.001673	0.01195	0.01097	0.008925	0.0135	0.009633	0.008739	0.02174	0.009658	0.05928	0.00125	0.01365	0.007866	0.007366	0.01014	0.02301	0.005375	0.007644	0.003987	0.02645	0.01707	0.004733	0.0005586	0.005867	0.005345	0.006184	0.007957	0.01279	0.002932	0.008356	0.009391
Arsenobetaine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.005906	0.005881	0.006097	0.00596	0.005929	0.005962	0.004312	0.002925	0.00484	0.003885	0.008107	0.006217	0.002639	0.004503	0.007318	0.004615	0.005606	0.005721	0.004869	0.005063	0.004478	0.008585	0.007991	0.008611	0.00405	0.005477	0.006952	0.006359	0.009135	0.01139
Carnitine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001284	0.01298	0.01303	0.01182	0.0121	0.01263	0.01248	0.02296	0.01346	0.03741	0.006283	0.01984	0.009849	0.01372	0.01504	0.01967	0.006144	0.007471	0.008212	0.00887	0.01024	0.00922	0.01001	0.008368	0.0085	0.008051	0.01352	0.02105	0.007015	0.01118	0.01363
Citrulline	0.4621	0.3577	0.3784	0.3129	0.0003881	0	0.0329	0.02173	0.03151	0.01979	0.006638	0.02387	0.01791	0.01632	0.02437	0.02	0.0212	0.0409	0.02865	0.03893	0.01403	0.03994	0.01592	0.02134	0.02916	0.0334	0.01339	0.01462	0.01347	0.01579	0.01417	0.03014	0.01977	0.01734	0.02924	0.01285	0.02047	0.0245	0.01176	0.01641	0.02003
