mz_rt	190715_Blk_KM1906U14-Blk_C.mzML	190715_Poo_TruePooFK180310_Full1.mzML	190715_Poo_TruePooFK180310_Full2.mzML	190715_Poo_TruePooFK180310_Full3.mzML	190715_Poo_TruePooFK180310_Half1.mzML	190715_Poo_TruePooFK180310_Half2.mzML	190715_Poo_TruePooFK180310_Half3.mzML	190715_Smp_FK180310S62C1-25m_A.mzML	190715_Smp_FK180310S62C1-25m_B.mzML	190715_Smp_FK180310S62C1-25m_C.mzML	190715_Smp_FK180310S62C1-DCM_A.mzML	190715_Smp_FK180310S62C1-DCM_B.mzML	190715_Smp_FK180310S62C1-DCM_C.mzML	190715_Smp_FK180310S64C1-25m_A.mzML	190715_Smp_FK180310S64C1-25m_B.mzML	190715_Smp_FK180310S64C1-25m_C.mzML	190715_Smp_FK180310S64C1-DCM_A.mzML	190715_Smp_FK180310S64C1-DCM_B.mzML	190715_Smp_FK180310S64C1-DCM_C.mzML	190715_Smp_FK180310S77C1-25m_A.mzML	190715_Smp_FK180310S77C1-25m_B.mzML	190715_Smp_FK180310S77C1-25m_C.mzML	190715_Smp_FK180310S77C1-DCM_A.mzML	190715_Smp_FK180310S77C1-DCM_B.mzML	190715_Smp_FK180310S77C1-DCM_C.mzML	190715_Smp_FK180310S80C1-25m_A.mzML	190715_Smp_FK180310S80C1-25m_B.mzML	190715_Smp_FK180310S80C1-25m_C.mzML	190715_Smp_FK180310S80C1-DCM_A.mzML	190715_Smp_FK180310S80C1-DCM_B.mzML	190715_Smp_FK180310S80C1-DCM_C.mzML	190715_Std_4uMStdsMix1InH2O_1.mzML	190715_Std_4uMStdsMix1InH2O_2.mzML	190715_Std_4uMStdsMix1InMatrix_1.mzML	190715_Std_4uMStdsMix1InMatrix_2.mzML	190715_Std_4uMStdsMix2InH2O_1.mzML	190715_Std_4uMStdsMix2InH2O_2.mzML	190715_Std_4uMStdsMix2InMatrix_1.mzML	190715_Std_4uMStdsMix2InMatrix_2.mzML	190715_Std_H2OinMatrix_1.mzML	190715_Std_H2OinMatrix_2.mzML
75.10043_8.99	1136927.71864611	4266416.40677104	4751303.32933059	6764204.66750434	5078079.55781111	6004050.94045386	6204892.12964219	1905157.220438	4818645.75353004	2908713.06315828	4151173.31235211	1702098.94741937	6088387.18859898	4321714.48693288	5109746.18941457	9700238.86206702	2234705.91466212	4454206.3164541	2340770.82021341	6213914.3309732	5845295.61565732	10601133.5999585	4883112.00322059	3081170.88031171	6265958.8052504	14325310.8639034	1521975.15363908	4721776.53749162	7471338.54246447	6721468.81680958	3675245.60476016	NA	NA	1891867.76354485	475105.952214984	NA	NA	2252760.77937587	746467.946072918	2550931.09926849	761088.872204451
76.04_10.49	197516.089976371	5141744.62248614	5908979.02409282	4341748.42908113	5451158.08260824	6699235.82525176	5053744.42697133	2820089.58643806	1676134.05536013	42480538.0631777	2108478.24595192	13710827.5849974	2155403.78656324	3352119.08036065	4144942.68340163	20807823.4514515	1613380.79485424	2677377.00778004	3049814.96587284	8721908.7122522	4959437.53974104	2175878.95146321	2493416.75484203	2762376.85646	1125984.62459029	1291071.30517498	2561314.41709082	5723065.58765498	1454441.67845269	1549458.90964254	2549670.20269482	367545243.089333	34164678.6752736	6143859.97755398	3942091.02746215	1369189.71029396	0	1509862.97046064	1744864.33964735	1652103.44976241	1287402.14984246
76.07633_5.23	5819567.04991995	1526224471.2201	1554691466.6578	1452749677.56435	1692563493.26889	1607454794.90867	1594600237.29602	338686773.417034	341471845.877861	9255110552.08983	296091604.902665	2136471200.8994	609084960.177177	894831951.904971	1448222588.82548	5105980081.72899	211636417.68842	526520608.433976	420401121.156431	961453676.690691	353091013.73818	317741402.078777	269756110.004601	378610566.536128	349834643.801431	299985243.472724	398269193.781581	2160411671.25535	271230524.213771	291593568.662195	591849521.643972	NA	NA	738447237.696833	806762555.507497	NA	NA	72318814.5456735	68677361.8854682	66044849.9844021	61017356.4526443
84.04499_10	2145410.3582492	12508740.3953086	10415945.7362261	9785095.59845045	12796659.9567343	13047730.2326133	12016976.9246487	34245432.6681845	20839236.3531232	27757113.5434297	2638343.11612624	6510014.23687047	4497217.65074144	9623259.5272661	12846013.07766	14555099.9599747	2755901.68115177	3907270.33722053	3070916.12020771	15721954.4111161	15307037.7525406	14304963.0128547	5062103.77812414	3949612.92745978	4250962.88912021	9162678.64689793	16189835.8530442	14424384.1557224	2860051.88373179	3724768.18686077	5534650.28472316	949237749.649252	NA	37543387.8737381	36850435.7350078	483089918.313008	NA	23773056.5979728	23796157.2004776	22894384.1312318	8769002.02869669
84.04499_10.83	1856101.81137242	6605811.84054814	5795116.17404443	6786862.61908585	7420986.53325618	6966780.267388	6378609.01084812	9710369.10269454	8754754.2526801	6924221.37277119	2870129.35617102	11625632.015623	6025571.01176128	9493261.38685814	7171898.19951482	7593677.78239187	5010042.15474463	7865602.28584794	4705389.94431277	8365229.17215378	5585808.73481931	4778326.52323957	6815602.88489621	6084530.0788497	6329753.44000811	4707332.48031937	5511978.05332264	6171088.0751507	5502634.96353271	9413507.42856987	7825437.9924053	NA	NA	25822745.1234942	31776585.5017429	NA	NA	14987270.6760597	17568904.3898434	14039325.9230525	23782642.2624447
90.0919_5.44	2836692.83124483	1767164.87129624	20513882.5609332	20017862.6241946	7204683.19955425	23255931.128519	22480702.4739508	8397944.55605479	89141911.1546466	53864797.2658888	11532044.7027935	5963742.0814307	37462952.3760834	7557941.05794597	19977111.3992867	29998208.7588699	16296277.5952742	11725564.1903311	9298824.33688718	8497446.98575336	10935835.134719	36146312.2711056	12529949.0666057	9260630.90797704	9041873.85974902	57687131.2233705	6006766.17139629	11931804.1810531	13257927.5750875	9193775.33019044	9468139.89103286	NA	NA	1276775201.44844	1347243089.99697	NA	NA	1352639036.29034	1315347018.31026	1263810112.0634	1285967155.19321
91.09517_4.94	126415.320011741	220588.37987334	692822.521603219	475787.138530723	271722.370319839	619156.600183388	724541.017535123	127222.758121495	2145106.58529524	671030.581107691	124322.997454742	36059.4920058173	1156605.934047	110695.456230574	539487.136104474	653436.173965206	554057.334639617	405672.691998527	268609.456970222	86965.4350280873	198052.347841594	1158876.11011704	0	86659.9424078255	180142.692717197	2059842.18450397	8946.73685842762	180211.17321876	121649.961037712	115002.17249695	98180.3682971789	NA	NA	60890827.851347	64120191.2567115	NA	NA	71220299.6152013	70489258.4043581	56831045.283855	66809837.4928735
102.05536_10.89	482757.290867702	1980525.05684788	1729050.4953953	1772862.36762043	2072925.83969781	2356205.51158555	1769982.22450525	2825667.29556331	2754627.22152951	2253305.55347356	304035.057786611	3701410.50159549	2002817.96265607	3097202.60360962	2317700.3535234	2443082.80617868	1324875.02568723	2439448.27731565	1580997.6463167	2855250.61060972	1770022.91742961	1358012.84462956	2259263.21516484	2066828.91379647	2036916.2720016	1674387.61139753	1784625.05006339	1817505.25027432	1740504.08594595	3039898.9948732	2293270.13573126	NA	NA	5487278.55264165	7691332.76157085	NA	NA	5015162.48732198	6123291.18399148	4054541.85551909	2552027.76425997
104.10739_9.23	9000851.55423483	97313720.79665	94676017.236881	114113884.956567	103236319.35948	119815386.568768	104268939.215305	113040524.00785	129360056.354863	236943021.957657	42216714.4416286	109755703.307879	159597106.769813	103265558.476931	104272791.171906	190269357.987599	56974279.5584207	80842640.8287767	51250675.1888611	1098903.0952736	70714861.7812516	98022459.6985189	43501280.9833593	55446224.1156481	76047603.2789434	154011028.123839	68332069.3113013	92800810.577175	64536905.5969681	93358916.7186461	64337765.0658185	NA	NA	397397805.860591	572265078.451507	NA	NA	165181397.557956	195371601.508227	142724954.625582	153557389.689417
104.1074_10.64	21726.8130215277	697381.099319626	598340.474812777	1098503.06621809	1000215.72390686	1408329.44382329	1601045.2280065	1434114.03449473	828060.282419732	1524942.26495793	226258.50220762	845205.772110115	2026632.03737939	1383658.20924132	835303.13834528	1046586.64531193	394855.415210243	554298.077691271	679487.409277217	1107898.89823482	384275.088262461	756171.484242242	350379.937134084	416951.123342665	834800.463285449	1582537.18857222	576966.162808645	793805.117187006	247254.194280587	1301531.41450898	664684.550911745	NA	NA	103101459.25089	122178696.316398	NA	NA	34728678.7078816	42319786.7859975	15838352.1064291	22519176.3943313
