filename,polarity,samp_type,cruise,station,cast,depth,tripl,untripl,date_run,sample_id,timestamp,date,start_time,end_time,volume,abs_depth,rosette,dissolved,lat,lon,pressure,temp,sal,ctd_oxy,ctd_chl,theta,sigma,oxy_um,dic,alk,ph,het_abund,pro_abund,syn_abund,euk_abund,dcm_depth,sla_corr,PC_um,PN_um,po4_um,no23_um,DON_um,TDN,DOP_um,TDP,si_um,chl_ug,phaeo_ug,beam_atten,station_grouping,time,sla_class,time_class,ms_run
180821_Smp_MS10C215m_A.mzML,neg,Smp,MS,10,2,Surface,A,180821_Smp_MS10C215m,2018-08-21T07:00:00Z,MS10C215m_A,2018-08-22T22:23:45Z,2017-07-01,1899-12-31T21:32:00Z,1899-12-31T21:50:00Z,10,15,NA,Yes,25.432,158.327,15.5,25.9325,35.2265,208.15,0.0915,25.929000000000002,23.2283,NA,2004.6,2321,8.066,4.547543046357616,1.5309735099337747,0.011,0.008026490066225165,105,2.285,1.8639535564860013,0.27513062870175714,0.0419370715448746,0.004270542455195529,4.791788905630206,4.796059448085401,0.1984907165898163,0.23933566872127704,1.6108515064290054,0.049,0.0287,0.04115915492957746,10,2017-07-01T13:34:21Z,Neither,Morning,MT
180821_Smp_MS10C215m_B.mzML,neg,Smp,MS,10,2,Surface,B,180821_Smp_MS10C215m,2018-08-21T07:00:00Z,MS10C215m_B,2018-08-31T05:27:06Z,2017-07-01,1899-12-31T21:32:00Z,1899-12-31T21:50:00Z,10,15,NA,No,25.432,158.327,15.5,25.9325,35.2265,208.15,0.0915,25.929000000000002,23.2283,NA,2004.6,2321,8.066,4.547543046357616,1.5309735099337747,0.011,0.008026490066225165,105,2.285,1.8639535564860013,0.27513062870175714,0.0419370715448746,0.004270542455195529,4.791788905630206,4.796059448085401,0.1984907165898163,0.23933566872127704,1.6108515064290054,0.049,0.0287,0.04115915492957746,10,2017-07-01T13:34:21Z,Neither,Morning,MT
180821_Smp_MS10C215m_C.mzML,neg,Smp,MS,10,2,Surface,C,180821_Smp_MS10C215m,2018-08-21T07:00:00Z,MS10C215m_C,2018-08-26T10:56:35Z,2017-07-01,1899-12-31T21:32:00Z,1899-12-31T21:50:00Z,10,15,NA,No,25.432,158.327,15.5,25.9325,35.2265,208.15,0.0915,25.929000000000002,23.2283,NA,2004.6,2321,8.066,4.547543046357616,1.5309735099337747,0.011,0.008026490066225165,105,2.285,1.8639535564860013,0.27513062870175714,0.0419370715448746,0.004270542455195529,4.791788905630206,4.796059448085401,0.1984907165898163,0.23933566872127704,1.6108515064290054,0.049,0.0287,0.04115915492957746,10,2017-07-01T13:34:21Z,Neither,Morning,MT
180821_Smp_MS10C2175m_A.mzML,neg,Smp,MS,10,2,Deep,A,180821_Smp_MS10C2175m,2018-08-21T07:00:00Z,MS10C2175m_A,2018-08-31T07:08:08Z,2017-07-01,1899-12-31T22:13:00Z,1899-12-31T22:33:00Z,10,175,NA,Yes,25.432,158.327,175.3,18.1845,34.939,209.95,0.10969999999999999,18.1545,25.188299999999998,NA,2051.103846153846,2290.1846153846154,7.95436923076923,2.01136328125,0.04679296875,0,0.0030976562499999997,105,2.3,0.6349785759782974,0.12448069576223458,0.19326673127011437,1.906849923243807,3.843150763833847,5.750000687077654,0.10477308533521194,0.3123502931737084,3.238771404779669,0.027710769230769233,0.06245615384615383,0.017118537150157723,10,2017-07-01T13:34:21Z,Neither,Morning,MT
180821_Smp_MS10C2175m_B.mzML,neg,Smp,MS,10,2,Deep,B,180821_Smp_MS10C2175m,2018-08-21T07:00:00Z,MS10C2175m_B,2018-08-29T10:31:15Z,2017-07-01,1899-12-31T22:13:00Z,1899-12-31T22:33:00Z,10,175,NA,No,25.432,158.327,175.3,18.1845,34.939,209.95,0.10969999999999999,18.1545,25.188299999999998,NA,2051.103846153846,2290.1846153846154,7.95436923076923,2.01136328125,0.04679296875,0,0.0030976562499999997,105,2.3,0.6349785759782974,0.12448069576223458,0.19326673127011437,1.906849923243807,3.843150763833847,5.750000687077654,0.10477308533521194,0.3123502931737084,3.238771404779669,0.027710769230769233,0.06245615384615383,0.017118537150157723,10,2017-07-01T13:34:21Z,Neither,Morning,MT
180821_Smp_MS10C2175m_C.mzML,neg,Smp,MS,10,2,Deep,C,180821_Smp_MS10C2175m,2018-08-21T07:00:00Z,MS10C2175m_C,2018-08-24T05:54:43Z,2017-07-01,1899-12-31T22:13:00Z,1899-12-31T22:33:00Z,10,175,NA,No,25.432,158.327,175.3,18.1845,34.939,209.95,0.10969999999999999,18.1545,25.188299999999998,NA,2051.103846153846,2290.1846153846154,7.95436923076923,2.01136328125,0.04679296875,0,0.0030976562499999997,105,2.3,0.6349785759782974,0.12448069576223458,0.19326673127011437,1.906849923243807,3.843150763833847,5.750000687077654,0.10477308533521194,0.3123502931737084,3.238771404779669,0.027710769230769233,0.06245615384615383,0.017118537150157723,10,2017-07-01T13:34:21Z,Neither,Morning,MT
180821_Smp_MS10C2DCM_A.mzML,neg,Smp,MS,10,2,DCM,A,180821_Smp_MS10C2DCM,2018-08-21T07:00:00Z,MS10C2DCM_A,2018-08-29T12:12:18Z,2017-07-01,1899-12-31T21:34:00Z,1899-12-31T22:00:00Z,10,105,NA,Yes,25.432,158.327,105.11842105263158,21.062921052631577,35.184105263157896,210.33947368421053,0.6919868421052632,21.042973684210526,24.62343157894737,NA,2036.7047872340427,2314.409574468085,8.005744680851064,3.9337113821138208,1.3418943089430895,0.0030406504065040646,0.019276422764227644,105,2.3,1.6297983695639744,0.26300588560803295,0.10020517857668869,0.12326296887634104,4.441563400917922,4.564826369794264,0.15344910756603516,0.2488104242572576,2.008753770569706,0.2029208092485549,0.39654971098265895,0.04055337680454688,10,2017-07-01T13:34:21Z,Neither,Morning,MT
180821_Smp_MS10C2DCM_B.mzML,neg,Smp,MS,10,2,DCM,B,180821_Smp_MS10C2DCM,2018-08-21T07:00:00Z,MS10C2DCM_B,2018-08-31T08:49:09Z,2017-07-01,1899-12-31T21:34:00Z,1899-12-31T22:01:00Z,10,105,NA,No,25.432,158.327,105.11842105263158,21.062921052631577,35.184105263157896,210.33947368421053,0.6919868421052632,21.042973684210526,24.62343157894737,NA,2036.7047872340427,2314.409574468085,8.005744680851064,3.9337113821138208,1.3418943089430895,0.0030406504065040646,0.019276422764227644,105,2.3,1.6297983695639744,0.26300588560803295,0.10020517857668869,0.12326296887634104,4.441563400917922,4.564826369794264,0.15344910756603516,0.2488104242572576,2.008753770569706,0.2029208092485549,0.39654971098265895,0.04055337680454688,10,2017-07-01T13:34:21Z,Neither,Morning,MT
180821_Smp_MS10C2DCM_C.mzML,neg,Smp,MS,10,2,DCM,C,180821_Smp_MS10C2DCM,2018-08-21T07:00:00Z,MS10C2DCM_C,2018-08-29T14:43:46Z,2017-07-01,1899-12-31T21:34:00Z,1899-12-31T22:00:00Z,10,105,NA,No,25.432,158.327,105.11842105263158,21.062921052631577,35.184105263157896,210.33947368421053,0.6919868421052632,21.042973684210526,24.62343157894737,NA,2036.7047872340427,2314.409574468085,8.005744680851064,3.9337113821138208,1.3418943089430895,0.0030406504065040646,0.019276422764227644,105,2.3,1.6297983695639744,0.26300588560803295,0.10020517857668869,0.12326296887634104,4.441563400917922,4.564826369794264,0.15344910756603516,0.2488104242572576,2.008753770569706,0.2029208092485549,0.39654971098265895,0.04055337680454688,10,2017-07-01T13:34:21Z,Neither,Morning,MT
180821_Smp_MS10C215m_A.mzML,pos,Smp,MS,10,2,Surface,A,180821_Smp_MS10C215m,2018-08-21T07:00:00Z,MS10C215m_A,2018-08-22T22:23:45Z,2017-07-01,1899-12-31T21:32:00Z,1899-12-31T21:50:00Z,10,15,NA,Yes,25.432,158.327,15.5,25.9325,35.2265,208.15,0.0915,25.929000000000002,23.2283,NA,2004.6,2321,8.066,4.547543046357616,1.5309735099337747,0.011,0.008026490066225165,105,2.285,1.8639535564860013,0.27513062870175714,0.0419370715448746,0.004270542455195529,4.791788905630206,4.796059448085401,0.1984907165898163,0.23933566872127704,1.6108515064290054,0.049,0.0287,0.04115915492957746,10,2017-07-01T13:34:21Z,Neither,Morning,MT
