Raw_file_name	Sample_ID	Sample_type	Station	Depth	Absolute_depth	Time_sampled	Latitude	Longitude	Temperature	Salinity	Sea_level_anomaly	Particulate_carbon
180821_Smp_MS10C215m_A.mzML	180821_Smp_MS10C215m_A.mzML	Sample	10	Surface	15	2017-07-01 13:34:21	25.432	158.327	25.9325	35.2265	2.285	1.86395
180821_Smp_MS10C215m_B.mzML	180821_Smp_MS10C215m_B.mzML	Sample	10	Surface	15	2017-07-01 13:34:21	25.432	158.327	25.9325	35.2265	2.285	1.86395
180821_Smp_MS10C215m_C.mzML	180821_Smp_MS10C215m_C.mzML	Sample	10	Surface	15	2017-07-01 13:34:21	25.432	158.327	25.9325	35.2265	2.285	1.86395
180821_Smp_MS10C2175m_A.mzML	180821_Smp_MS10C2175m_A.mzML	Sample	10	Deep	175	2017-07-01 13:34:21	25.432	158.327	18.1845	34.939	2.3	0.634979
180821_Smp_MS10C2175m_B.mzML	180821_Smp_MS10C2175m_B.mzML	Sample	10	Deep	175	2017-07-01 13:34:21	25.432	158.327	18.1845	34.939	2.3	0.634979
180821_Smp_MS10C2175m_C.mzML	180821_Smp_MS10C2175m_C.mzML	Sample	10	Deep	175	2017-07-01 13:34:21	25.432	158.327	18.1845	34.939	2.3	0.634979
180821_Smp_MS10C2DCM_A.mzML	180821_Smp_MS10C2DCM_A.mzML	Sample	10	DCM	105	2017-07-01 13:34:21	25.432	158.327	21.0629	35.1841	2.3	1.6298
180821_Smp_MS10C2DCM_B.mzML	180821_Smp_MS10C2DCM_B.mzML	Sample	10	DCM	105	2017-07-01 13:34:21	25.432	158.327	21.0629	35.1841	2.3	1.6298
180821_Smp_MS10C2DCM_C.mzML	180821_Smp_MS10C2DCM_C.mzML	Sample	10	DCM	105	2017-07-01 13:34:21	25.432	158.327	21.0629	35.1841	2.3	1.6298
180821_Smp_MS11C215m_A.mzML	180821_Smp_MS11C215m_A.mzML	Sample	11	Surface	15	2017-07-01 18:28:10	25.1867	158.428	26.2603	35.2033	-6.84	1.93412
180821_Smp_MS11C215m_B.mzML	180821_Smp_MS11C215m_B.mzML	Sample	11	Surface	15	2017-07-01 18:28:10	25.1867	158.428	26.2603	35.2033	-6.84	1.93412
180821_Smp_MS11C215m_C.mzML	180821_Smp_MS11C215m_C.mzML	Sample	11	Surface	15	2017-07-01 18:28:10	25.1867	158.428	26.2603	35.2033	-6.84	1.93412
180821_Smp_MS11C2175m_A.mzML	180821_Smp_MS11C2175m_A.mzML	Sample	11	Deep	175	2017-07-01 18:28:10	25.187	158.428	16.9705	34.7525	-6.85	0.628671
180821_Smp_MS11C2175m_B.mzML	180821_Smp_MS11C2175m_B.mzML	Sample	11	Deep	175	2017-07-01 18:28:10	25.187	158.428	16.9705	34.7525	-6.85	0.628671
180821_Smp_MS11C2175m_C.mzML	180821_Smp_MS11C2175m_C.mzML	Sample	11	Deep	175	2017-07-01 18:28:10	25.187	158.428	16.9705	34.7525	-6.85	0.628671
180821_Smp_MS11C2DCM_A.mzML	180821_Smp_MS11C2DCM_A.mzML	Sample	11	DCM	110	2017-07-01 18:28:10	25.188	158.428	20.641	35.151	-6.8	1.88031
180821_Smp_MS11C2DCM_B.mzML	180821_Smp_MS11C2DCM_B.mzML	Sample	11	DCM	110	2017-07-01 18:28:10	25.188	158.428	20.641	35.151	-6.8	1.88031
180821_Smp_MS11C2DCM_C.mzML	180821_Smp_MS11C2DCM_C.mzML	Sample	11	DCM	110	2017-07-01 18:28:10	25.188	158.428	20.641	35.151	-6.8	1.88031
180821_Smp_MS12C115m_A.mzML	180821_Smp_MS12C115m_A.mzML	Sample	12	Surface	15	2017-07-01 22:50:07	24.8605	158.568	26.0015	35.3865	-14.77	2.3678
180821_Smp_MS12C115m_B.mzML	180821_Smp_MS12C115m_B.mzML	Sample	12	Surface	15	2017-07-01 22:50:07	24.8605	158.568	26.0015	35.3865	-14.77	2.3678
180821_Smp_MS12C115m_C.mzML	180821_Smp_MS12C115m_C.mzML	Sample	12	Surface	15	2017-07-01 22:50:07	24.8605	158.568	26.0015	35.3865	-14.77	2.3678
180821_Smp_MS12C1175m_A.mzML	180821_Smp_MS12C1175m_A.mzML	Sample	12	Deep	175	2017-07-01 22:50:07	24.8605	158.568	14.624	34.446	-14.77	0.699858
180821_Smp_MS12C1175m_B.mzML	180821_Smp_MS12C1175m_B.mzML	Sample	12	Deep	175	2017-07-01 22:50:07	24.8605	158.568	14.624	34.446	-14.77	0.699858
180821_Smp_MS12C1175m_C.mzML	180821_Smp_MS12C1175m_C.mzML	Sample	12	Deep	175	2017-07-01 22:50:07	24.8605	158.568	14.624	34.446	-14.77	0.699858
180821_Smp_MS12C1DCM_A.mzML	180821_Smp_MS12C1DCM_A.mzML	Sample	12	DCM	103	2017-07-01 22:50:07	24.86	158.568	18.011	34.89	-14.77	2.8526
180821_Smp_MS12C1DCM_B.mzML	180821_Smp_MS12C1DCM_B.mzML	Sample	12	DCM	103	2017-07-01 22:50:07	24.86	158.568	18.011	34.89	-14.77	2.8526
180821_Smp_MS12C1DCM_C.mzML	180821_Smp_MS12C1DCM_C.mzML	Sample	12	DCM	103	2017-07-01 22:50:07	24.86	158.568	18.011	34.89	-14.77	2.8526
180821_Smp_MS13C2175m_A.mzML	180821_Smp_MS13C2175m_A.mzML	Sample	13	Deep	175	2017-07-02 07:04:16	24.472	158.719	17.766	34.812	-6.07	0.649396
180821_Smp_MS13C2175m_B.mzML	180821_Smp_MS13C2175m_B.mzML	Sample	13	Deep	175	2017-07-02 07:04:16	24.472	158.719	17.766	34.812	-6.07	0.649396
180821_Smp_MS13C2175m_C.mzML	180821_Smp_MS13C2175m_C.mzML	Sample	13	Deep	175	2017-07-02 07:04:16	24.472	158.719	17.766	34.812	-6.07	0.649396
180821_Smp_MS13C2DCM_A.mzML	180821_Smp_MS13C2DCM_A.mzML	Sample	13	DCM	112	2017-07-02 07:04:16	24.472	158.719	20.845	35.078	-6.07	1.7956
180821_Smp_MS13C2DCM_B.mzML	180821_Smp_MS13C2DCM_B.mzML	Sample	13	DCM	112	2017-07-02 07:04:16	24.472	158.719	20.845	35.078	-6.07	1.7956
180821_Smp_MS13C2DCM_C.mzML	180821_Smp_MS13C2DCM_C.mzML	Sample	13	DCM	112	2017-07-02 07:04:16	24.472	158.719	20.845	35.078	-6.07	1.7956
180821_Smp_MS13C315m_A.mzML	180821_Smp_MS13C315m_A.mzML	Sample	13	Surface	15	2017-07-02 08:32:49	24.4712	158.722	26.6312	35.0972	-6.025	2.30833
180821_Smp_MS13C315m_B.mzML	180821_Smp_MS13C315m_B.mzML	Sample	13	Surface	15	2017-07-02 08:32:49	24.4712	158.722	26.6312	35.0972	-6.025	2.30833
180821_Smp_MS13C315m_C.mzML	180821_Smp_MS13C315m_C.mzML	Sample	13	Surface	15	2017-07-02 08:32:49	24.4712	158.722	26.6312	35.0972	-6.025	2.30833
180821_Smp_MS14C215m_A.mzML	180821_Smp_MS14C215m_A.mzML	Sample	14	Surface	15	2017-07-02 13:32:57	24	158.918	26.375	34.929	8.61	2.1191
180821_Smp_MS14C215m_B.mzML	180821_Smp_MS14C215m_B.mzML	Sample	14	Surface	15	2017-07-02 13:32:57	24	158.918	26.375	34.929	8.61	2.1191
180821_Smp_MS14C215m_C.mzML	180821_Smp_MS14C215m_C.mzML	Sample	14	Surface	15	2017-07-02 13:32:57	24	158.918	26.375	34.929	8.61	2.1191
180821_Smp_MS14C2175m_A.mzML	180821_Smp_MS14C2175m_A.mzML	Sample	14	Deep	175	2017-07-02 13:32:57	24	158.918	20.446	35.157	8.61	0.79898
180821_Smp_MS14C2175m_B.mzML	180821_Smp_MS14C2175m_B.mzML	Sample	14	Deep	175	2017-07-02 13:32:57	24	158.918	20.446	35.157	8.61	0.79898
180821_Smp_MS14C2175m_C.mzML	180821_Smp_MS14C2175m_C.mzML	Sample	14	Deep	175	2017-07-02 13:32:57	24	158.918	20.446	35.157	8.61	0.79898
180821_Smp_MS14C2DCM_A.mzML	180821_Smp_MS14C2DCM_A.mzML	Sample	14	DCM	105	2017-07-02 13:32:57	24	158.918	22.731	35.138	8.61	1.49734
180821_Smp_MS14C2DCM_B.mzML	180821_Smp_MS14C2DCM_B.mzML	Sample	14	DCM	105	2017-07-02 13:32:57	24	158.918	22.731	35.138	8.61	1.49734
180821_Smp_MS14C2DCM_C.mzML	180821_Smp_MS14C2DCM_C.mzML	Sample	14	DCM	105	2017-07-02 13:32:57	24	158.918	22.731	35.138	8.61	1.49734
180821_Smp_MS4C115m_A.mzML	180821_Smp_MS4C115m_A.mzML	Sample	4	Surface	15	2017-06-29 17:48:40	27.9513	157.285	25.685	35.2927	-3.25333	1.92983
180821_Smp_MS4C115m_B.mzML	180821_Smp_MS4C115m_B.mzML	Sample	4	Surface	15	2017-06-29 17:48:40	27.9513	157.285	25.685	35.2927	-3.25333	1.92983
180821_Smp_MS4C115m_C.mzML	180821_Smp_MS4C115m_C.mzML	Sample	4	Surface	15	2017-06-29 17:48:40	27.9513	157.285	25.685	35.2927	-3.25333	1.92983
180821_Smp_MS4C1175m_A.mzML	180821_Smp_MS4C1175m_A.mzML	Sample	4	Deep	175	2017-06-29 17:48:40	27.952	157.284	15.385	34.59	-3.27	0.724488
180821_Smp_MS4C1175m_B.mzML	180821_Smp_MS4C1175m_B.mzML	Sample	4	Deep	175	2017-06-29 17:48:40	27.952	157.284	15.385	34.59	-3.27	0.724488
180821_Smp_MS4C1175m_C.mzML	180821_Smp_MS4C1175m_C.mzML	Sample	4	Deep	175	2017-06-29 17:48:40	27.952	157.284	15.385	34.59	-3.27	0.724488
180821_Smp_MS4C1DCM_A.mzML	180821_Smp_MS4C1DCM_A.mzML	Sample	4	DCM	100	2017-06-29 17:48:40	27.952	157.284	18.097	34.921	-3.27	2.39514
180821_Smp_MS4C1DCM_B.mzML	180821_Smp_MS4C1DCM_B.mzML	Sample	4	DCM	100	2017-06-29 17:48:40	27.952	157.284	18.097	34.921	-3.27	2.39514
180821_Smp_MS4C1DCM_C.mzML	180821_Smp_MS4C1DCM_C.mzML	Sample	4	DCM	100	2017-06-29 17:48:40	27.952	157.284	18.097	34.921	-3.27	2.39514
180821_Smp_MS5C115m_A.mzML	180821_Smp_MS5C115m_A.mzML	Sample	5	Surface	15	2017-06-30 05:12:29	27.18	157.607	25.956	35.208	19.05	2.01187
180821_Smp_MS5C115m_B.mzML	180821_Smp_MS5C115m_B.mzML	Sample	5	Surface	15	2017-06-30 05:12:29	27.18	157.607	25.956	35.208	19.05	2.01187
