compound_name	170706_Blk_Blk0p2_1.mzML	170706_Blk_Blk0p2_2.mzML	180821_Poo_Day1and2Poo_Full1.mzML	180821_Poo_Day1and2Poo_Full2.mzML	180821_Poo_Day1and2Poo_Full3.mzML	180821_Poo_Day1and2Poo_Full4.mzML	180821_Poo_Day1and2Poo_Full5.mzML	180821_Poo_Day1and2Poo_Full6.mzML	180821_Poo_Day1and2Poo_Half1.mzML	180821_Poo_Day1and2Poo_Half2.mzML	180821_Poo_Day1and2Poo_Half3.mzML	180821_Poo_Day1and2Poo_Half4.mzML	180821_Poo_Day1and2Poo_Half5.mzML	180821_Poo_Day1and2Poo_Half6.mzML	180821_Smp_MS4C1DCM_A.mzML	180821_Smp_MS4C1DCM_B.mzML	180821_Smp_MS4C1DCM_C.mzML	180821_Smp_MS4C115m_A.mzML	180821_Smp_MS4C115m_B.mzML	180821_Smp_MS4C115m_C.mzML	180821_Smp_MS4C1175m_A.mzML	180821_Smp_MS4C1175m_B.mzML	180821_Smp_MS4C1175m_C.mzML	180821_Smp_MS5C1DCM_A.mzML	180821_Smp_MS5C1DCM_B.mzML	180821_Smp_MS5C1DCM_C.mzML	180821_Smp_MS5C115m_A.mzML	180821_Smp_MS5C115m_B.mzML	180821_Smp_MS5C115m_C.mzML	180821_Smp_MS5C1175m_A.mzML	180821_Smp_MS5C1175m_B.mzML	180821_Smp_MS5C1175m_C.mzML	180821_Smp_MS6C3DCM_A.mzML	180821_Smp_MS6C3DCM_B.mzML	180821_Smp_MS6C3DCM_C.mzML	180821_Smp_MS6C315m_A.mzML	180821_Smp_MS6C315m_B.mzML	180821_Smp_MS6C315m_C.mzML	180821_Smp_MS6C3175m_A.mzML	180821_Smp_MS6C3175m_B.mzML	180821_Smp_MS6C3175m_C.mzML	180821_Smp_MS7C1DCM_A.mzML	180821_Smp_MS7C1DCM_B.mzML	180821_Smp_MS7C1DCM_C.mzML	180821_Smp_MS7C115m_A.mzML	180821_Smp_MS7C115m_B.mzML	180821_Smp_MS7C115m_C.mzML	180821_Smp_MS7C1175m_A.mzML	180821_Smp_MS7C1175m_B.mzML	180821_Smp_MS7C1175m_C.mzML	180821_Smp_MS8C1DCM_A.mzML	180821_Smp_MS8C1DCM_B.mzML	180821_Smp_MS8C1DCM_C.mzML	180821_Smp_MS8C115m_A.mzML	180821_Smp_MS8C115m_B.mzML	180821_Smp_MS8C115m_C.mzML	180821_Smp_MS8C1175m_A.mzML	180821_Smp_MS8C1175m_B.mzML	180821_Smp_MS8C1175m_C.mzML	180821_Smp_MS9C2DCM_A.mzML	180821_Smp_MS9C2DCM_B.mzML	180821_Smp_MS9C2DCM_C.mzML	180821_Smp_MS9C215m_A.mzML	180821_Smp_MS9C215m_B.mzML	180821_Smp_MS9C215m_C.mzML	180821_Smp_MS9C2175m_A.mzML	180821_Smp_MS9C2175m_B.mzML	180821_Smp_MS9C2175m_C.mzML	180821_Smp_MS10C2DCM_A.mzML	180821_Smp_MS10C2DCM_B.mzML	180821_Smp_MS10C2DCM_C.mzML	180821_Smp_MS10C215m_A.mzML	180821_Smp_MS10C215m_B.mzML	180821_Smp_MS10C215m_C.mzML	180821_Smp_MS10C2175m_A.mzML	180821_Smp_MS10C2175m_B.mzML	180821_Smp_MS10C2175m_C.mzML	180821_Smp_MS11C2DCM_A.mzML	180821_Smp_MS11C2DCM_B.mzML	180821_Smp_MS11C2DCM_C.mzML	180821_Smp_MS11C215m_A.mzML	180821_Smp_MS11C215m_B.mzML	180821_Smp_MS11C215m_C.mzML	180821_Smp_MS11C2175m_A.mzML	180821_Smp_MS11C2175m_B.mzML	180821_Smp_MS11C2175m_C.mzML	180821_Smp_MS12C1DCM_A.mzML	180821_Smp_MS12C1DCM_B.mzML	180821_Smp_MS12C1DCM_C.mzML	180821_Smp_MS12C115m_A.mzML	180821_Smp_MS12C115m_B.mzML	180821_Smp_MS12C115m_C.mzML	180821_Smp_MS12C1175m_A.mzML	180821_Smp_MS12C1175m_B.mzML	180821_Smp_MS12C1175m_C.mzML	180821_Smp_MS13C2DCM_A.mzML	180821_Smp_MS13C2DCM_B.mzML	180821_Smp_MS13C2DCM_C.mzML	180821_Smp_MS13C315m_A.mzML	180821_Smp_MS13C315m_B.mzML	180821_Smp_MS13C315m_C.mzML	180821_Smp_MS13C2175m_A.mzML	180821_Smp_MS13C2175m_B.mzML	180821_Smp_MS13C2175m_C.mzML	180821_Smp_MS14C2DCM_A.mzML	180821_Smp_MS14C2DCM_B.mzML	180821_Smp_MS14C2DCM_C.mzML	180821_Smp_MS14C215m_A.mzML	180821_Smp_MS14C215m_B.mzML	180821_Smp_MS14C215m_C.mzML	180821_Smp_MS14C2175m_A.mzML	180821_Smp_MS14C2175m_B.mzML	180821_Smp_MS14C2175m_C.mzML	180821_Std_4uMStdsMix1InH2O_1.mzML	180821_Std_4uMStdsMix1InH2O_2.mzML	180821_Std_4uMStdsMix1InH2O_3.mzML	180821_Std_4uMStdsMix1InMatrix_1.mzML	180821_Std_4uMStdsMix1InMatrix_2.mzML	180821_Std_4uMStdsMix1InMatrix_3.mzML	180821_Std_4uMStdsMix2InH2O_1.mzML	180821_Std_4uMStdsMix2InH2O_2.mzML	180821_Std_4uMStdsMix2InH2O_3.mzML	180821_Std_4uMStdsMix2InMatrix_1.mzML	180821_Std_4uMStdsMix2InMatrix_2.mzML	180821_Std_4uMStdsMix2InMatrix_3.mzML	180821_Std_H2OInMatrix_1.mzML	180821_Std_H2OInMatrix_2.mzML	180821_Std_H2OInMatrix_3.mzML	180205_Std_4uMStdsInH2O_1.mzML	180205_Std_4uMStdsInH2O_2.mzML	180205_Std_4uMStdsInMatrix_1.mzML	180205_Std_4uMStdsInMatrix_2.mzML	180205_Poo_TruePoo_Full1.mzML	180205_Poo_TruePoo_Full2.mzML	180205_Poo_TruePoo_Full3.mzML	180205_Poo_TruePoo_Half1.mzML	180205_Poo_TruePoo_Half2.mzML	180205_Poo_TruePoo_Half3.mzML	180205_Smp_L1C32DCMless10m_A.mzML	180205_Smp_L1C32DCMless10m_B.mzML	180205_Smp_L1C32DCMless10m_C.mzML	180205_Smp_L1C32DCMless20m_A.mzML	180205_Smp_L1C32DCMless20m_B.mzML	180205_Smp_L1C32DCMless20m_C.mzML	180205_Smp_L1C33DCM_A.mzML	180205_Smp_L1C33DCM_B.mzML	180205_Smp_L1C33DCM_C.mzML	180205_Smp_L1C33DCMplus10m_A.mzML	180205_Smp_L1C33DCMplus10m_B.mzML	180205_Smp_L1C33DCMplus10m_C.mzML	180205_Smp_L1C33DCMplus20m_A.mzML	180205_Smp_L1C33DCMplus20m_B.mzML	180205_Smp_L1C33DCMplus20m_C.mzML	180205_Smp_L2C1DCMless10m_A.mzML	180205_Smp_L2C1DCMless10m_B.mzML	180205_Smp_L2C1DCMless10m_C.mzML	180205_Smp_L2C1DCMless20m_A.mzML	180205_Smp_L2C1DCMless20m_B.mzML	180205_Smp_L2C1DCMless20m_C.mzML	180205_Smp_L2C2DCM_A.mzML	180205_Smp_L2C2DCM_B.mzML	180205_Smp_L2C2DCM_C.mzML	180205_Smp_L2C2DCMplus10m_A.mzML	180205_Smp_L2C2DCMplus10m_B.mzML	180205_Smp_L2C2DCMplus10m_C.mzML	180205_Smp_L2C2DCMplus20m_A.mzML	180205_Smp_L2C2DCMplus20m_B.mzML	180205_Smp_L2C2DCMplus20m_C.mzML
(3-Carboxypropyl)trimethylammonium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2-O-alpha-D-Glucosylglycerol	0	0.002055	0.03921	0.04217	0.0325	0.01945	0.04639	0.03787	0.03788	0.04132	0.02471	0.01154	0.0462	0.03126	0.1065	0.1599	0.02846	0.01777	0.0538	0.01296	0.001234	0	0	0.03633	0.06126	0.04954	0.001851	0.0169	0.003602	0.003643	0	0.003704	0.01446	0.05089	0.0202	0.01101	0.009652	0.00396	0	0	0.001506	0.01255	0.02216	0.03165	0.005193	0.02037	0.007391	0	0	0.000861	0.03817	0.03333	0.05148	0.003079	0.01603	0.02091	0	0.0004087	0	0.04595	0.08821	0.04723	0.009755	0.01538	0.007999	0.0004852	0	0	0.09538	0.0852	0.1238	0.001192	0.02137	0.009634	0	0	0	0.05696	0.07475	0.1649	0.01528	0.04044	0.01186	0	0	0	0.3238	0.1572	0.1628	0.03183	0.01529	0.01349	0	0	0	0.1774	0.1153	0.09447	0.004668	0.005678	0.005549	0	0	0	0.07767	0.0501	0.04919	0.01853	0.01746	0.01271	0	0	0.001315	NA	NA	NA	0.0396	0.01858	0.03781	NA	NA	NA	0.3381	0.1269	0.2769	0.03567	0.01656	0.03118	NA	NA	1.735	0.9314	0.01422	0.011	0.01943	0.0157	0.01331	0.01003	0.01715	0.0198	0.02164	0.02418	0.01693	0.01477	0.04454	0.03613	0.03008	0.03158	0.04835	0.03977	0.02578	0.01711	0.01687	0.008077	0.01235	0.01575	0.01241	0.01328	0.005621	0.01945	0.01096	0.01215	0.01114	0.01249	0.001805	0.005615	0.0012	0.001106
4-Aminopentanoic acid	0.0007995	0.002341	0.03478	0.03951	0.04153	0.04197	0.0417	0.04155	0.05567	0.06199	0.05743	0.0605	0.0532	0.05778	0.03849	0.04785	0.04178	0.03623	0.03673	0.02106	0.03865	0.03235	0.03197	0.03699	0.03704	0.0274	0.05831	0.04028	0.04007	0.03804	0.03155	0.02834	0.03421	0.04018	0.04074	0.03362	0.03361	0.03179	0.01696	0.02326	0.03156	0.0397	0.03017	0.04114	0.04323	0.04911	0.04633	0.02707	0.03749	0.02359	0.02981	0.02446	0.04059	0.03776	0.03935	0.02371	0.02731	0.01259	0.01923	0.03268	0.0403	0.02223	0.06114	0.03375	0.03585	0.02252	0.03114	0.03195	0.02558	0.03443	0.03561	0.04097	0.01724	0.03467	0.02173	0.02192	0.03251	0.02662	0.05438	0.028	0.03904	0.04003	0.03801	0.02977	0.02887	0.02985	0.0452	0.04495	0.04679	0.04715	0.01705	0.03901	0.03205	0.02711	0.02753	0.03946	0.03574	0.03203	0.02267	0.03537	0.04859	0.03409	0.0274	0.02644	0.03776	0.0246	0.03517	0.03048	0.04205	0.03105	0.02036	0.02811	0.0325	NA	NA	NA	0.2165	0.3002	0.2852	NA	NA	NA	0.0363	0.04205	0.04502	0.03237	0.0399	0.04153	NA	NA	4.244	NA	0.1171	0.1115	0.1203	0.1923	0.0764	0.2271	0.1645	0.1404	0.1317	0.1258	0.1426	0.07056	0.1451	0.217	0.2201	0.1669	0.08941	0.08283	0.1604	0.1442	0.1136	0.1176	0.1626	0.1966	0.1279	0.09629	0.2002	0.1328	0.1394	0.1365	0.1476	0.1045	0.09823	0.1293	0.09909	0.119
5-Hydroxyectoine	7.016e-07	4.858e-07	0.0003945	0.0003491	0.0003814	0.0003623	0.0003398	0.0003684	0.0004238	0.0003574	0.0003925	0.0003759	0.0004188	0.0004358	0.0005174	0.0006455	0.00018	0.0007145	0.0003238	0.0002971	0.0004971	0.0007352	0.0003398	0.000141	0.0005757	0.0002432	0.0002288	0.0004317	0.0003577	0.0005763	0.0003216	0.0001763	0.0002238	0.0002579	0.0002138	0.0002607	0.0002675	0.0004384	0.0001538	0.0001383	0.0003452	0.0002607	0.0002139	0.0002454	0.0007235	0.001407	0.0007562	0.0001626	0.0005063	0.0002334	0.0001144	0.0001279	0.0002428	0.0001975	0.0001735	0.0002083	0.0001673	6.582e-05	5.799e-05	9.816e-05	0.0002038	0.000102	0.0001412	9.884e-05	0.0001739	0.0001025	0.0002133	0.0001615	0.0001044	0.0002008	0.0001837	0.0003014	0.000157	0.0001846	0.0001679	0.0001111	0.0001847	4.664e-05	0.0001926	0.0001094	0.0004366	0.0001439	0.0001112	0.0001682	0.0001997	0.0001135	0.0001432	0.0001605	0.0001664	0.0002498	9.34e-05	0.0001615	0.0002074	0.0001449	0.0001843	0.000202	0.0001344	0.000116	8.456e-05	0.0001273	0.0001466	0.0002486	0.0001641	0.0009662	0.0001866	0.0001367	0.0002342	1e-04	9.659e-05	9.863e-05	0.0002132	0.0001595	0.0002408	0.0004741	0.003249	0.08935	0.000382	0.000415	0.0003094	0.1855	0.1384	0.2002	0.005882	0.007353	0.005372	0.0004245	0.0004556	0.0003495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetylcholine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adenine	5.61	4.498	0.02207	0.02483	0.02408	0.02648	0.02286	0.02219	0.02269	0.02348	0.02278	0.02397	0.02218	0.02083	0.03881	0.03161	0.03194	0.0231	0.02523	0.01458	0.006166	0.009195	0.007285	0.02001	0.01412	0.01637	0.01137	0.03697	0.0193	0.0108	0.01301	0.009365	0.02763	0.03816	0.01088	0.0211	0.02984	0.02561	0.009502	0.007767	0.01212	0.029	0.02984	0.02126	0.0324	0.02799	0.02837	0.01553	0.01824	0.007502	0.01912	0.01545	0.03763	0.02084	0.03307	0.02192	0.005428	0.003717	0.006572	0.01187	0.04166	0.01183	0.02573	0.0144	0.02653	0.006593	0.005984	0.009953	0.02014	0.02268	0.01829	0.02644	0.01598	0.03183	0.004421	0.005564	0.01129	0.01645	0.02546	0.01921	0.02539	0.03855	0.01876	0.004301	0.007354	0.008367	0.05265	0.02398	0.03245	0.02014	0.01239	0.01887	0.005679	0.004663	0.007113	0.02425	0.03268	0.02795	0.01622	0.03357	0.01392	0.005196	0.01222	0.009582	0.03753	0.01364	0.02376	0.01404	0.02752	0.0305	0.009856	0.009644	0.01021	22.06	9.773	13.16	0.2933	0.2991	0.2533	0.5324	0.2991	0.4216	0.03797	0.0375	0.03466	0.02146	0.02186	0.02073	0.4035	0.3315	0.4364	0.3316	0.03581	0.03222	0.03454	0.03584	0.02879	0.03568	0.02398	0.02824	0.03137	0.03606	0.03725	0.03505	0.02661	0.03292	0.037	0.03962	0.02716	0.01956	0.02187	0.01733	0.01683	0.02542	0.02923	0.02513	0.03523	0.03656	0.02614	0.0242	0.02483	0.02837	0.04528	0.02267	0.01951	0.02139	0.01857	0.01584
Adenosine	NA	NA	0.01708	0.01886	0.01864	0.01763	0.01695	0.01636	0.01609	0.01873	0.0177	0.01684	0.01718	0.01614	0.03595	0.05102	0.02542	0.01172	0.03118	0.02498	0.006339	0.007607	0.008726	0.01389	0.01488	0.02033	0.008588	0.02398	0.013	0.01005	0.003936	0.006888	0.01332	0.02252	0.01372	0.01663	0.03383	0.01288	0.006512	0.009039	0.00678	0.01239	0.01579	0.02034	0.01395	0.009082	0.0285	0.006198	0.006074	0.01055	0.01548	0.01087	0.03019	0.01871	0.0174	0.01847	0.004034	0.002552	0.007175	0.008059	0.02711	0.01183	0.01477	0.008764	0.01011	0.003205	0.004161	0.006678	0.01859	0.0267	0.03588	0.01281	0.01411	0.01579	0.003236	0.005166	0.01131	0.0109	0.02575	0.02596	0.04123	0.02032	0.01832	0.001853	0.004835	0.005119	0.06455	0.04178	0.0402	0.01803	0.01602	0.01821	0.006905	0.003423	0.003489	0.02604	0.02125	0.018	0.01235	0.02091	0.01558	0.00824	0.006741	0.006691	0.01179	0.009197	0.01759	0.01106	0.01729	0.02437	0.005208	0.006428	0.01404	0	4.572e-05	0	0.01477	0.01401	0.0165	5.236	4.642	4.838	0.236	0.2427	0.2722	0.01598	0.01485	0.0172	0.3157	0.289	0.3387	0.2878	0.01978	0.01416	0.02094	0.01983	0.0133	0.01996	0.008625	0.01133	0.02267	0.009909	0.0315	0.02705	0.01283	0.02296	0.0158	0.01695	0.02121	0.02143	0.008612	0.006477	0.01233	0.01431	0.01455	0.02006	0.03076	0.02394	0.01415	0.01213	0.02468	0.01711	0.00974	0.009882	0.009082	0.009552	0.008223	0.008063
Arsenobetaine	NA	NA	0.009117	0.007739	0.009716	0.01122	0.01086	0.01149	0.009697	0.008374	0.009885	0.01178	0.01106	0.01133	0.004935	0.005536	0.005045	0.001212	0.001909	0.001285	0.008452	0.01354	0.01429	0.009452	0.008815	0.0128	0.002195	0.002557	0.002093	0.01311	0.01334	0.01731	0.01293	0.013	0.01659	0.002766	0.006755	0.002717	0.02326	0.01923	0.02328	0.01179	0.009354	0.01413	0.002485	0.002783	0.003455	0.01938	0.01635	0.01452	0.00944	0.008926	0.0114	0.001558	0.001941	0.002619	0.01569	0.01584	0.01777	0.009422	0.01009	0.01083	0.002074	0.002562	0.002341	0.01535	0.01546	0.01473	0.01103	0.01484	0.01336	0.002226	0.002875	0.002121	0.01274	0.01305	0.01587	0.009924	0.01049	0.01357	0.005412	0.001637	0.00182	0.009958	0.01436	0.01289	0.003524	0.005307	0.00568	0.001735	0.002334	0.00211	0.01172	0.01423	0.01371	0.006806	0.007258	0.008018	0.002316	0.001549	0.002865	0.01303	0.01345	0.01799	0.01001	0.01245	0.02755	0.003453	0.003385	0.003092	0.02006	0.01921	0.01538	0	2.661e-06	3.437e-06	0.009987	0.01343	0.01288	0.3838	0.3715	0.3779	0.2604	0.3664	0.3697	0.01043	0.01323	0.01282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carnitine	NA	NA	0.008736	0.006932	0.00919	0.009706	0.01014	0.01111	0.00935	0.00759	0.01005	0.01019	0.01087	0.01125	0.00764	0.007961	0.007445	0.007972	0.01853	0.01133	0.001817	0.003473	0.003221	0.009109	0.009081	0.01534	0.01196	0.0185	0.01346	0.005687	0.004768	0.008374	0.007684	0.007866	0.01149	0.01395	0.02074	0.01331	0.006119	0.005457	0.005427	0.00796	0.006884	0.01158	0.01309	0.01252	0.01591	0.007596	0.005926	0.004847	0.009622	0.008338	0.009885	0.009694	0.01232	0.02336	0.005124	0.004875	0.006573	0.01008	0.01203	0.01273	0.01378	0.01655	0.01179	0.004601	0.004018	0.003389	0.009836	0.01336	0.01937	0.01304	0.01724	0.01562	0.003506	0.004086	0.005273	0.00771	0.008275	0.01321	0.02485	0.01136	0.01438	0.002204	0.003578	0.002942	0.01167	0.01909	0.01756	0.01592	0.01583	0.01706	0.002301	0.002512	0.002384	0.01231	0.01071	0.01138	0.0122	0.007985	0.01209	0.003412	0.004079	0.003961	0.007059	0.0102	0.02088	0.01732	0.01853	0.01533	0.005195	0.005854	0.004402	0.07763	0.09661	0.0999	0.07018	0.09946	0.1037	0.01902	0.0208	0.02094	0.02081	0.02786	0.02823	0.009809	0.01092	0.01265	0.1621	0.15	0.1305	0.118	0.02064	0.0188	0.01769	0.02314	0.01982	0.01918	0.0265	0.01863	0.02397	0.02517	0.02944	0.0318	0.02269	0.02788	0.01699	0.02307	0.01729	0.02291	0.01618	0.01468	0.01459	0.01745	0.01725	0.01609	0.02	0.018	0.01388	0.01704	0.02347	0.01882	0.01671	0.01775	0.01546	0.01418	0.01361	0.008918
Citrulline	0	9.26e-05	0.007908	0.00641	0.005776	0.00556	0.005945	0.006505	0.006066	0.005129	0.004203	0.004235	0.003803	0.00503	0.008557	0.01843	0.00521	0.007265	0.005821	0.003472	0.00136	0.001201	0.001206	0.004924	0.01861	0.004204	0.002792	0.004057	0.004425	0.003214	0.001701	0.002051	0.003797	0.005461	0.006616	0.006583	0.008879	0.00598	0.0008374	0.001297	0.003652	0.007835	0.005489	0.009086	0.007062	0.01113	0.006809	0.001457	0.002667	0.002459	0.003699	0.004961	0.007358	0.003396	0.003924	0.003892	0.001674	0.0005522	0.001238	0.004976	0.005924	0.004727	0.002401	0.003748	0.002588	0.001634	0.001293	0.001155	0.004202	0.006022	0.007151	0.004687	0.002892	0.003853	0.0008356	0.0006455	0.001507	0.005023	0.008244	0.009451	0.005883	0.006778	0.004451	0.001126	0.000967	0.0009111	0.01137	0.009945	0.01305	0.01079	0.00474	0.007654	0.0007464	0.0008895	0.0009619	0.00581	0.005427	0.003447	0.001834	0.004595	0.00291	0.001062	0.0007136	0.0004212	0.006731	0.004163	0.008753	0.004314	0.006654	0.00462	0.0005669	0.001339	0.002151	NA	NA	NA	0.2782	0.2174	0.2266	NA	NA	NA	0.009875	0.008921	0.01003	0.008158	0.006548	0.00767	NA	NA	8.976	NA	0.01795	0.01666	0.0182	0.01694	0.02655	0.01883	0.02998	0.02173	0.01766	0.02671	0.02554	0.01927	0.01411	0.03097	0.01749	0.02187	0.01203	0.01193	0.01354	0.007355	0.01425	0.01788	0.02242	0.01394	0.03601	0.02109	0.02264	0.00767	0.01055	0.008515	0.01136	0.007544	0.008382	0.01549	0.005527	0.003542
