"mz_rt"	"1_extr-ctrl--extr-ctrl-_1"	"2_extr-ctrl--extr-ctrl-_2"	"3_extr-ctrl--extr-ctrl-_3"	"4_extr-ctrl--extr-ctrl-_4"	"10_exudate-0d_2"	"11_exudate-0d_3"	"12_exudate-0d_4"	"9_exudate-0d_1"	"25_exudate-12d_1"	"26_exudate-12d_2"	"27_exudate-12d_3"	"28_exudate-12d_4"	"13_exudate-3d_1"	"14_exudate-3d_2"	"15_exudate-3d_3"	"16_exudate-3d_4"	"17_exudate-6d_1"	"18_exudate-6d_2"	"19_exudate-6d_3"	"20_exudate-6d_4"	"21_exudate-9d_1"	"22_exudate-9d_2"	"23_exudate-9d_3"	"24_exudate-9d_4"	"5_exudate-med-ctrl-_1"	"6_exudate-med-ctrl-_2"	"7_exudate-med-ctrl-_3"	"8_exudate-med-ctrl-_4"	"33_pellet-0d_1"	"34_pellet-0d_2"	"35_pellet-0d_3"	"36_pellet-0d_4"	"49_pellet-12d_1"	"50_pellet-12d_2"	"51_pellet-12d_3"	"52_pellet-12d_4"	"37_pellet-3d_1"	"38_pellet-3d_2"	"39_pellet-3d_3"	"40_pellet-3d_4"	"41_pellet-6d_1"	"42_pellet-6d_2"	"43_pellet-6d_3"	"44_pellet-6d_4"	"45_pellet-9d_1"	"46_pellet-9d_2"	"47_pellet-9d_3"	"48_pellet-9d_4"	"29_pellet-med-ctrl-_1"	"30_pellet-med-ctrl-_2"	"31_pellet-med-ctrl-_3"	"32_pellet-med-ctrl-_4"
"106.08625_6.18"	30362972.289978	26295220.6786923	32019562.4025971	28388666.3786947	26821612.7005247	28124066.4148415	27903118.2288082	25809552.3382189	29619154.8351683	25818407.0380205	23025942.5207956	28072675.1381884	29459520.0561452	26119771.6236392	23771457.5178847	28295803.930825	22321156.775827	28342870.5645055	29316702.2970266	25786809.3113742	26477533.4399925	30068200.7200488	27071920.9530611	25251627.8621812	26464459.1538291	25880917.3986367	29455122.9334403	28997686.5461385	26144497.8932473	19107256.7225637	7296935.51325237	27781229.7795121	20215172.8254546	20724717.3403441	15535230.1682785	23725596.7407385	28897081.0020957	32878216.5665311	28222820.32655	26703287.7729974	27242322.098847	25695643.1808814	28886246.2848685	32463153.4493253	26015145.6988499	25230081.5307871	27590913.6964437	27887662.1367247	21463907.032837	27153553.6302166	26364327.7268303	24401858.4488431
"113.02587_4.79"	12521288.8477365	10501760.7904799	11157546.6014206	11771668.1094651	12068241.911077	12668949.609623	11192782.9005061	10975763.3960604	10986616.792512	10413826.8678642	9227322.00647029	10178664.7759157	12449866.9404812	10788903.7182588	10094991.0618733	12398802.3265724	10786541.942205	11639064.2393012	12391861.6211997	10578612.3804042	11116459.527697	11332985.070861	10929724.0797173	10251905.2087098	10749851.6033068	10761639.5538896	12117983.892788	12228773.2025051	11977791.1808479	6961450.84415429	6267587.67815085	11180968.8274587	4352195.29634847	4774408.38458607	1108651.95543798	5602500.70117746	12284370.603088	12255715.8039746	10928169.4132108	10622363.7116616	3113538.22716695	84073.5013308804	10251094.8578154	11074059.4726727	7792950.02225884	349984.973401942	8654506.5130923	3650852.87240246	7640576.04532744	9126003.28120144	10935530.5660099	8672856.92980953
"116.05133_4.31"	33475084.3450806	29086547.5969303	30578690.5641431	30619198.6082579	31678436.1622356	32161411.3109407	30737454.5843543	29960075.8618618	27291765.6067954	27174991.5047972	26002184.6684041	27435289.7219354	32273109.2456688	29545753.7729019	28044939.9316023	32255234.9638629	29117225.3957399	30503211.8688264	31436531.6223177	26599482.6410586	28957014.9613267	29562670.0777217	28755519.6924937	26907385.6705462	29378206.9515205	29023269.5972036	32285223.1084448	32363746.841686	30677379.974363	17049002.278939	17137013.8519216	29710629.5372722	20927872.6304022	22092962.9316053	12617933.2219199	24681809.1033491	31492016.9057818	33691874.160253	28429633.4342274	29661917.408171	26315021.8138856	22091127.9307197	30175776.1454936	31327857.9267347	26396818.7235702	25769553.6273112	28662760.3213312	27465375.9323777	18780590.9814058	30076035.7711981	29805295.3217643	21581472.0956125
"118.05155_4.32"	34213547.3548611	30177867.7807333	31991111.7674875	32009257.7529185	33149268.8570986	32926855.0823802	31718789.1180867	31447292.5334888	28732951.6701566	27208041.3955709	26864368.0150781	28025872.3075035	33661406.3033018	30721471.9475625	29037914.4933292	33459638.3367277	29627234.2500849	30964521.0721989	32705365.3155788	27582464.1235103	29528169.8019215	30220895.9686965	29922378.435828	27923831.3136682	30808762.9182036	30439265.4662252	33354508.1167734	33510142.239103	31666271.3242307	17360538.968681	17261758.3203746	30584259.1281117	21594529.8309265	22685789.0938947	12913552.6337383	25304587.4962987	33118423.7447977	34621950.6002936	29761261.6116936	30913636.861859	27151947.7261627	22194135.2678228	30581938.2971972	32142386.8836105	26728152.5756892	27007272.329035	29228547.184947	28947281.1259764	19302729.0197165	30873049.0383702	30646233.6928255	21969191.2340849
"118.0862_7.66"	363582768.990451	129949372.608709	206817661.947778	161173527.27239	139198730.718058	153036657.962777	174344561.440588	146974462.521726	154512434.128406	156790167.369831	154054249.989134	198112869.308011	136927134.189254	161642399.944123	139774332.397273	152352390.133721	139479370.425972	154573724.69673	155748794.657598	117613382.326918	185656775.739322	145370501.690115	203021100.221091	141179671.113035	148489023.746626	144124095.849338	162766306.532261	149579899.995088	139508977.371175	128353215.080742	139698414.714395	243555257.772722	17650248846.3922	8689779489.32738	23098084921.4801	2025688388.95598	309382688.990247	198205204.321012	222971078.029283	315147271.505536	622540301.349866	696638116.830378	851405113.059335	2499580090.77285	1221142853.48344	1231478688.65449	1379081639.81526	4913765731.9319	130458992.698205	154876458.411982	166918142.681542	141107365.924468
"119.05266_4.32"	22403656.649115	19860917.4875505	21052104.7558306	20856769.2466079	21212853.6146418	21998422.795226	20453285.1232342	20615875.8376289	19183200.6460839	19028102.4492067	17928477.0610158	18754744.3286164	21940587.9114316	20396516.986558	19376127.275453	21963592.6660052	19459021.4879589	20717129.725572	21310717.094032	17831570.1081899	19227380.5290083	19925272.4080616	19529518.8302683	18333456.0244491	20316695.8463623	19507211.3934331	21689004.2064409	21742578.8255913	20123310.2071549	11519104.6102274	11454096.4836476	19590606.7710938	13580078.1892405	14836644.6507359	1281427.50587395	16287366.3878105	21571987.3917449	22926871.4107644	19705833.253502	20379892.459856	17526955.1208279	14730620.3568139	19914628.0845201	20652432.2653779	17154580.8107965	17582539.8650381	18539976.894094	18268163.7544341	12466977.6254284	20088366.4356798	19854655.9456068	14259236.8313346
"119.05503_6.17"	47459653.7332522	47384801.8442845	51344543.9690701	47415667.6495169	44691495.7877927	48879331.7452897	45105089.0315628	45329764.9183864	38165882.8816681	34708738.7528325	31724740.1842987	35208993.6989398	46929476.8356628	44854850.1898783	44262374.8709902	45219244.9713003	43618018.4070551	44260639.8279736	43459594.3565559	40616702.0394894	39746405.8307462	41290227.6168727	39560768.265767	35952439.1323877	41372417.8453838	41916320.6647443	47347694.3742972	47061305.9166675	48123369.3818993	24670512.6942249	27849848.6574459	41634000.551889	21166655.5375275	23532072.5945838	3472172.24101988	26783689.1715152	44723532.5047314	48500570.741781	45513507.4748196	42284632.2518232	30677168.0053332	25954496.826513	34244914.1808661	40191273.9981691	33082021.8763927	25279724.7522522	33724324.9585525	28754132.1582508	29369360.1773114	47659447.8285735	47005711.1586457	31984750.0184464
"123.0232_4.79"	35846334.1196453	25384031.594428	30835066.9832222	35148911.4725905	36058817.0130701	36687980.0948202	30063803.3623345	31139987.377017	31652876.7902073	31244724.1044096	28556633.8623251	30916253.7386258	36867307.4922023	27486812.9635389	25178932.3134089	36350497.4816897	27832037.5117549	32754080.8707147	37319344.3958338	28774072.9120766	31996390.4626474	33301152.9821062	31125331.2774276	28597220.8707875	29505238.0848598	29649810.3989914	35445226.1470977	37454959.2596775	33647904.8715625	19305248.5603495	18502628.147402	31957386.0472423	13220258.810079	16210176.6096496	3844468.56132774	16250193.9963886	34705382.8163013	36602712.1934279	28554965.6769289	29255686.1675424	27831275.6587121	23890112.7516263	28671565.1910419	33994684.6980139	22578486.8850988	2713272.91858817	29330878.7241827	25330498.5213184	20403745.4632163	29958918.5736048	26536300.7330797	25212373.5813411
"129.04632_2.66"	NA	NA	NA	NA	NA	NA	NA	NA	3891747.90815281	16558716.4435917	22834106.1163156	28284128.7537196	NA	NA	NA	NA	NA	NA	NA	NA	997020.63073239	1232361.88958963	2679438.5473829	2646904.76950828	NA	NA	NA	NA	NA	13021.9479097956	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"131.04342_6.93"	NA	NA	NA	NA	NA	NA	NA	NA	31861628.3218934	66400160.7888291	43670508.7045921	62201846.5193675	NA	NA	NA	NA	NA	NA	NA	NA	5159707.05109216	2809214.82834776	7451131.39376785	3582162.75485693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17955.5436215939	NA	NA	NA	NA
