feature,mzmed,rtmed,compound_name,structure,class,cruise,polarity
FK_POS_0099,75.10042880420646,8.99396464029948,NA,NA,NA,FK,pos
FK_POS_0100,76.03999836201224,10.494403076171874,Glycine,NA,NA,FK,pos
FK_POS_0101,76.07632603892432,5.228152211507162,Trimethylamine N-oxide,NA,NA,FK,pos
FK_POS_0118,84.04499159891637,9.995914204915364,NA,NA,NA,FK,pos
FK_POS_0119,84.04498577144575,10.833963012695312,NA,NA,NA,FK,pos
FK_POS_0184,90.09189576391496,5.444854736328125,NA,NA,NA,FK,pos
FK_POS_0191,91.09517067922474,4.943559773763021,NA,NA,NA,FK,pos
FK_POS_0246,102.0553572772402,10.894170633951823,NA,NA,NA,FK,pos
FK_POS_0265,104.10738591667896,9.225455729166669,NA,NA,NA,FK,pos
FK_POS_0267,104.1073990101261,10.64173787434896,Choline,NA,NA,FK,pos
FK_POS_0294,112.0508974575996,5.42477060953776,Cytosine,NA,NA,FK,pos
FK_POS_0297,112.05089185353174,4.828016153971354,NA,NA,NA,FK,pos
FK_POS_0306,113.05420525549468,6.514600880940756,NA,NA,NA,FK,pos
FK_POS_0334,117.05488603913814,9.39979756673177,NA,NA,NA,FK,pos
FK_POS_0340,118.0864495204702,5.776863606770833,Glycine betaine,NA,NA,FK,pos
FK_POS_0345,119.03413536393096,9.741737874348958,NA,NA,NA,FK,pos
FK_POS_0346,119.03409802845415,9.208269755045572,NA,NA,NA,FK,pos
FK_POS_0356,120.06576129858068,9.873048909505208,L-Homoserine,NA,NA,FK,pos
FK_POS_0357,120.06576574297924,9.251244099934896,L-Threonine,NA,NA,FK,pos
FK_POS_0358,120.080981254425,4.635010528564453,NA,NA,NA,FK,pos
FK_POS_0368,121.03201858642272,6.933140106136068,Dimethylsulfonioacetate,NA,NA,FK,pos
FK_POS_0395,122.06836629493851,3.1227779388427734,NA,NA,NA,FK,pos
FK_POS_0398,123.02785509021489,6.929871114095052,NA,NA,NA,FK,pos
FK_POS_0404,123.05542871603556,2.604179128011068,NA,NA,NA,FK,pos
FK_POS_0412,124.0394687499847,3.265706888834635,Nicotinic acid,NA,NA,FK,pos
FK_POS_0413,124.03934647367772,6.052489725748698,NA,NA,NA,FK,pos
FK_POS_0453,125.04276112422326,3.490208943684896,NA,NA,NA,FK,pos
FK_POS_0457,126.0220932268347,9.756754557291666,Taurine,NA,NA,FK,pos
FK_POS_0469,128.06987229743515,5.340752156575521,NA,NA,NA,FK,pos
FK_POS_0491,129.066035705444,8.32862548828125,NA,NA,NA,FK,pos
FK_POS_0502,130.050021208666,10.887204996744792,Pyro from glutamate,NA,NA,FK,pos
FK_POS_0503,130.05002309028308,9.995794677734375,Pyro from glutamine,NA,NA,FK,pos
FK_POS_0508,130.15916360422858,5.322101593017578,NA,NA,NA,FK,pos
FK_POS_0522,132.0768661948386,9.577911376953123,Creatine,NA,NA,FK,pos
FK_POS_0526,132.1020137692853,7.945291137695311,beta-Alaninebetaine,NA,NA,FK,pos
FK_POS_0527,132.10204508400426,5.121253458658854,L-Leucine,NA,NA,FK,pos
FK_POS_0531,133.03187478150795,6.27566401163737,NA,NA,NA,FK,pos
FK_POS_0534,133.13845751723778,1.983105977376302,NA,NA,NA,FK,pos
FK_POS_0535,135.0474720675047,8.230699666341145,Dimethylsulfoniopropionate,NA,NA,FK,pos
FK_POS_0539,136.06187825561642,3.833819580078125,Adenine,NA,NA,FK,pos
FK_POS_0540,136.06183172371678,2.9166978200276694,NA,NA,NA,FK,pos
FK_POS_0551,137.04586698806034,4.832313537597656,Allopurinol,NA,NA,FK,pos
FK_POS_0552,137.04586727899542,5.948610941569011,Hypoxanthine,NA,NA,FK,pos
FK_POS_0555,137.06318759269828,9.383694458007811,NA,NA,NA,FK,pos
FK_POS_0559,137.0651143850871,2.3899621327718097,NA,NA,NA,FK,pos
FK_POS_0560,137.16350219539444,1.983105977376302,NA,NA,NA,FK,pos
FK_POS_0565,138.05502751744518,6.346502685546875,NA,NA,NA,FK,pos
FK_POS_0566,138.05508639063112,4.353293863932292,Homarine,NA,NA,FK,pos
FK_POS_0600,140.0376001801198,7.4590087890625,N-Methyltaurine,NA,NA,FK,pos
FK_POS_0620,141.06594764623895,5.730123901367188,NA,NA,NA,FK,pos
FK_POS_0644,143.08159760080144,6.543831888834635,NA,NA,NA,FK,pos
FK_POS_0645,143.08160263153547,7.009664916992189,Ectoine,NA,NA,FK,pos
FK_POS_0647,144.07869391035206,7.919480387369791,NA,NA,NA,FK,pos
FK_POS_0649,144.1019745586704,5.018524678548177,Proline betaine,NA,NA,FK,pos
FK_POS_0653,144.1019718579114,7.706624857584635,NA,NA,NA,FK,pos
FK_POS_0690,146.06004509983472,2.1021525700887045,NA,NA,NA,FK,pos
FK_POS_0696,146.11759593582929,8.311589558919271,(3-Carboxypropyl)trimethylammonium,NA,NA,FK,pos
FK_POS_0718,147.04747214451052,6.955941263834635,NA,NA,NA,FK,pos
FK_POS_0719,147.0764556705356,9.992466735839844,L-Glutamine,NA,NA,FK,pos
FK_POS_0723,147.12090210093322,6.792440287272135,NA,NA,NA,FK,pos
FK_POS_0727,148.06047862594215,10.88721720377604,L-Glutamic acid/O-Acetyl-L-serine/beta-Glutamic acid,NA,NA,FK,pos
FK_POS_0729,148.09686054664255,6.837554677327475,Hydroxyisoleucine,NA,NA,FK,pos
FK_POS_0740,150.0583528334014,6.27566401163737,L-Methionine,NA,NA,FK,pos
FK_POS_0744,150.07742406623044,4.980593872070313,N6-Methyladenine,NA,NA,FK,pos
FK_POS_0747,151.07470144064254,2.964796447753906,NA,NA,NA,FK,pos
FK_POS_0750,151.0807025328084,2.9624476114908855,NA,NA,NA,FK,pos
FK_POS_0751,151.09653889917192,2.261619059244792,NA,NA,NA,FK,pos
FK_POS_0752,151.1441977818546,5.211473592122396,NA,NA,NA,FK,pos
FK_POS_0753,152.05673796998508,6.729756673177083,Guanine,NA,NA,FK,pos
FK_POS_0754,152.05683400362514,8.205359903971354,NA,NA,NA,FK,pos
FK_POS_0779,154.05326531274244,4.346571858723959,NA,NA,NA,FK,pos
FK_POS_0784,155.08153405110625,7.305668640136719,NA,NA,NA,FK,pos
FK_POS_0794,157.09723023850302,5.852352905273437,NA,NA,NA,FK,pos
FK_POS_0795,157.09722762425216,5.227884928385417,NA,NA,NA,FK,pos
FK_POS_0821,158.08121301926633,6.809013366699219,NA,NA,NA,FK,pos
FK_POS_0825,159.0764799177555,10.759698994954428,NA,NA,NA,FK,pos
FK_POS_0826,159.07646119671043,8.712959798177083,NA,NA,NA,FK,pos
FK_POS_0827,159.07645315093424,10.174286397298175,5-Hydroxyectoine,NA,NA,FK,pos
FK_POS_0829,160.09690996615603,6.980014038085938,Betonicine/Turicine,NA,NA,FK,pos
FK_POS_0830,160.0969157039488,8.022954813639323,NA,NA,NA,FK,pos
FK_POS_0831,160.096920454376,6.197325134277344,NA,NA,NA,FK,pos
FK_POS_0832,160.09688244381556,5.39501953125,NA,NA,NA,FK,pos
FK_POS_0838,160.13327944705443,7.196553548177083,NA,NA,NA,FK,pos
FK_POS_0840,160.1333234988943,8.28984120686849,NA,NA,NA,FK,pos
FK_POS_0842,162.0760953414634,9.051955159505209,NA,NA,NA,FK,pos
FK_POS_0843,162.11255341790863,5.275800323486328,Carnitine,NA,NA,FK,pos
FK_POS_0844,162.11252492463964,8.233120727539063,NA,NA,NA,FK,pos
FK_POS_0845,162.1125401128037,6.726203918457031,NA,NA,NA,FK,pos
FK_POS_0857,165.0581402283683,6.939016469319662,NA,NA,NA,FK,pos
FK_POS_0866,166.034990731932,5.587386067708334,NA,NA,NA,FK,pos
