feature,min_mz,max_mz,min_rt,max_rt,mean_mz,feat_class
FT0088,84.0446395874023,84.0452194213867,649.09542,785.46162,84.0449295043945,Good
FT0089,84.0447006225586,84.0451965332031,623.46138,740.9445,84.0449485778808,Good
FT0143,90.0551071166992,90.0557327270508,568.958538,729.12372,90.055419921875,Good
FT0150,93.0549087524414,93.0552673339844,546.590994,601.51878,93.0550880432129,Good
FT0151,93.0739974975586,93.0745697021484,607.593,700.35102,93.0742835998535,Good
FT0181,97.0840835571289,97.0847549438477,283.605726,389.106966,97.0844192504883,Good
FT0332,116.070449829102,116.071243286133,501.287214,626.97768,116.070846557618,Good
FT0350,117.048210144043,117.049018859863,390.672792,484.658832,117.048614501953,Good
FT0351,117.05451965332,117.055114746094,623.7489,709.44696,117.054817199707,Good
FT0353,117.073852539062,117.074508666992,504.664272,603.4458,117.074180603027,Good
FT0382,118.086067199707,118.086975097656,364.75374,630.01098,118.086521148681,Good
FT0394,119.08943939209,119.090141296387,381.44775,541.291182,119.089790344239,Good
FT0406,122.031074523926,122.031677246094,483.113352,540.263718,122.03137588501,Good
FT0407,122.034889221191,122.035499572754,480.58194,560.294172,122.035194396972,Good
FT0419,123.027282714844,123.028015136719,479.906496,554.911488,123.027648925782,Good
FT0447,123.096565246582,123.097267150879,420.577512,469.022868,123.09691619873,Good
FT0448,123.114395141602,123.115081787109,518.51343,572.850258,123.114738464355,Good
FT0452,124.038627624512,124.039695739746,558.908814,618.72264,124.039161682129,Good
FT0467,124.099388122559,124.100540161133,407.395944,517.28475,124.099964141846,Good
FT0468,124.100166320801,124.100723266602,417.810792,492.563022,124.100444793701,Good
FT0484,126.021781921387,126.022453308105,538.080492,687.42318,126.022117614746,Good
FT0497,130.049407958984,130.05046081543,593.13759,769.94118,130.049934387207,Good
FT0498,130.049514770508,130.050674438477,650.02584,806.72538,130.050094604493,Good
FT0502,130.068740844727,130.069564819336,572.119716,630.3012,130.069152832031,Good
FT0525,131.053100585938,131.053573608398,487.382286,547.199538,131.053337097168,Good
FT0537,132.101501464844,132.102416992188,331.679808,519.483804,132.101959228516,Good
FT0547,133.027420043945,133.028366088867,809.61888,905.55888,133.027893066406,Meh
FT0548,133.031387329102,133.032211303711,374.075238,516.811452,133.031799316406,Good
FT0561,134.044418334961,134.04524230957,655.08672,783.23034,134.044830322266,Good
FT0574,136.046417236328,136.047729492188,558.802416,622.8486,136.047073364258,Good
FT0575,136.050399780273,136.051300048828,555.80799,651.28716,136.05084991455,Good
FT0576,136.061431884766,136.062194824219,230.895486,380.292792,136.061813354493,Good
FT0584,137.04280090332,137.043670654297,557.509068,654.36138,137.043235778808,Good
FT0586,137.04508972168,137.046096801758,402.920772,554.666508,137.045593261719,Good
FT0601,138.055404663086,138.056210472879,256.331652,363.385386,138.055807567982,Good
FT0621,139.057861328125,139.058670043945,291.160866,414.05382,139.058265686035,Good
