"feature","shape_cor","area_cor"
"FT0001",-0.188729582566523,-2.3121936844114
"FT0002",0,0
"FT0003",-0.502272744780508,-1.42671691581683
"FT0004",0,0
"FT0005",0,0
"FT0006",0,0
"FT0007",0,0
"FT0008",0,0
"FT0009",0,0
"FT0010",0,0
"FT0011",0,0
"FT0012",-0.0975320611655367,-0.991648837540978
"FT0013",-0.108153053223603,-0.851971556150754
"FT0014",-1.44542218239042,-2.99747478406449
"FT0015",-1.14830455707751,-2.96230529186308
"FT0016",-0.589369290905291,-2.73199510376186
"FT0017",-0.472003810955223,-2.51699152113766
"FT0018",0,0
"FT0019",0,0
"FT0020",0,0
"FT0021",0,0
"FT0022",0,0
"FT0023",0,0
"FT0024",0,0
"FT0025",0,0
"FT0026",0,0
"FT0027",0,0
"FT0028",0,0
"FT0029",0,0
"FT0030",0,0
"FT0031",0,0
"FT0032",0,0
"FT0033",0,0
"FT0034",-0.804042246644753,-2.68085218329639
"FT0035",-0.909931149664555,-2.30424046744487
"FT0036",-0.290625561996104,-2.05792502189481
"FT0037",0,0
"FT0038",0.0935329108699905,-0.54798902902609
"FT0039",0,0
"FT0040",0,0
"FT0041",0,0
"FT0042",-0.35682897616121,-2.51063998085978
"FT0043",-1.06100787321349,-2.1905715173569
"FT0044",-0.229039108800435,-1.11442801451444
"FT0045",-0.0647907574357806,-0.5041942415603
"FT0046",-0.531799149439238,0
"FT0047",-0.177859612110488,0
"FT0048",0.0445790712858667,0
"FT0049",0.0686806907480227,0
"FT0050",-0.457388717987515,0
"FT0051",-0.189555972457663,-0.842485590314253
"FT0052",0.0370422929686949,-1.65035172146752
"FT0053",-0.0867415983478959,0
"FT0054",-1.67789201220121,-1.29491216302304
"FT0055",-1.44288162560153,-3.04609663286734
"FT0056",-0.306212577814828,-1.79894105385961
"FT0057",-0.261930592033948,-2.60140351306896
"FT0058",-0.147652034948698,-1.19276710032853
"FT0059",-0.107001453941975,-1.61131223816589
"FT0060",-0.250433055226273,-2.13050612743774
