"feature","med_missed_scans"
"FT0001",11
"FT0002",0
"FT0003",2
"FT0004",0
"FT0005",0
"FT0006",1
"FT0007",1
"FT0008",1
"FT0009",1
"FT0010",-1
"FT0011",1
"FT0012",1
"FT0013",0
"FT0014",2
"FT0015",-1
"FT0016",1
"FT0017",0
"FT0018",13
"FT0019",14
"FT0020",5
"FT0021",2
"FT0022",1
"FT0023",1
"FT0024",0
"FT0025",5
"FT0026",27
"FT0027",0
"FT0028",0
"FT0029",1
"FT0030",7
"FT0031",22
"FT0032",5
"FT0033",2
"FT0034",11
"FT0035",9
"FT0036",1
"FT0037",2
"FT0038",1
"FT0039",3
"FT0040",2
"FT0041",2
"FT0042",1
"FT0043",2
"FT0044",3
"FT0045",-1
"FT0046",0
"FT0047",0
"FT0048",1
"FT0049",3
"FT0050",3
"FT0051",0
"FT0052",1
"FT0053",0
"FT0054",6
"FT0055",2
"FT0056",1
"FT0057",1
"FT0058",0
"FT0059",3
"FT0060",0
"FT0061",2
"FT0062",-1
"FT0063",0
"FT0064",1
"FT0065",1
"FT0066",0
"FT0067",0
"FT0068",0
"FT0069",2
"FT0070",0
"FT0071",0
"FT0072",1
"FT0073",-1
"FT0074",17
"FT0075",18
"FT0076",3
"FT0077",0
"FT0078",0
"FT0079",0
"FT0080",1
"FT0081",0
"FT0082",0
"FT0083",1
"FT0084",0
"FT0085",0
"FT0086",4
"FT0087",1
"FT0088",16
"FT0089",15
"FT0090",2
"FT0091",3
"FT0092",2
"FT0093",0
"FT0094",19
"FT0095",3
"FT0096",3
"FT0097",1
"FT0098",26
"FT0099",6
"FT0100",22
"FT0101",39
"FT0102",9.5
"FT0103",24
"FT0104",4
"FT0105",15
"FT0106",2
"FT0107",7
"FT0108",0
"FT0109",7
"FT0110",33
"FT0111",0
"FT0112",5
"FT0113",17
"FT0114",0
"FT0115",0
"FT0116",4
"FT0117",7
"FT0118",3
"FT0119",1
"FT0120",3
"FT0121",9
"FT0122",2
"FT0123",1
"FT0124",2
"FT0125",15
"FT0126",-1
"FT0127",24
"FT0128",11
"FT0129",3
"FT0130",0
"FT0131",10
"FT0132",14
"FT0133",2
"FT0134",3
"FT0135",5
"FT0136",23
"FT0137",2
"FT0138",4
"FT0139",1
"FT0140",2
"FT0141",1
"FT0142",19
"FT0143",3
"FT0144",3
"FT0145",1
"FT0146",3
"FT0147",11
"FT0148",6
"FT0149",18
"FT0150",9
"FT0151",15
"FT0152",1
"FT0153",3
"FT0154",1
"FT0155",1
"FT0156",1
"FT0157",2
"FT0158",0
"FT0159",-1
"FT0160",1
"FT0161",19
"FT0162",1
"FT0163",3
"FT0164",0
"FT0165",1
"FT0166",2
"FT0167",0
"FT0168",1
"FT0169",0
"FT0170",0
"FT0171",-2
"FT0172",1
"FT0173",3
"FT0174",2
"FT0175",1
"FT0176",2
"FT0177",6
"FT0178",1
"FT0179",6
"FT0180",1
"FT0181",3
"FT0182",2
"FT0183",2
"FT0184",2
"FT0185",3
"FT0186",3
"FT0187",0
"FT0188",2
"FT0189",0
"FT0190",0
"FT0191",45
"FT0192",3
"FT0193",6
"FT0194",10
"FT0195",3
"FT0196",13
"FT0197",2
"FT0198",12
"FT0199",5
"FT0200",6
"FT0201",2
"FT0202",4
"FT0203",2
"FT0204",21.5
"FT0205",1
"FT0206",0
"FT0207",0
"FT0208",8
"FT0209",7
"FT0210",0
"FT0211",20
"FT0212",11
"FT0213",3
"FT0214",0
"FT0215",14
"FT0216",23
"FT0217",3
"FT0218",4
"FT0219",5
"FT0220",3
"FT0221",0
"FT0222",0
"FT0223",0
"FT0224",-1
"FT0225",0
"FT0226",0
"FT0227",30
"FT0228",28
"FT0229",-1
"FT0230",7
"FT0231",5
"FT0232",0
"FT0233",1
"FT0234",3
"FT0235",0
"FT0236",21
"FT0237",1
"FT0238",1
"FT0239",3
"FT0240",4
"FT0241",-1
"FT0242",30
"FT0243",5
"FT0244",32
"FT0245",11
"FT0246",3
"FT0247",4
"FT0248",7
"FT0249",5
"FT0250",25
"FT0251",30.5
"FT0252",1
"FT0253",8
"FT0254",6
"FT0255",2
"FT0256",3
"FT0257",1
"FT0258",8
"FT0259",1
"FT0260",1
"FT0261",2
"FT0262",1
"FT0263",2
"FT0264",2
"FT0265",3
"FT0266",4
"FT0267",4
"FT0268",26
"FT0269",29
"FT0270",10.5
"FT0271",6
"FT0272",10
"FT0273",5
"FT0274",45.5
"FT0275",2
"FT0276",0
"FT0277",3
"FT0278",13
"FT0279",1
"FT0280",1
"FT0281",3
"FT0282",2
"FT0283",1
"FT0284",0
"FT0285",0
"FT0286",1
"FT0287",0
"FT0288",27
"FT0289",1
"FT0290",2
"FT0291",0
"FT0292",1
"FT0293",2
"FT0294",6
"FT0295",10
"FT0296",2
"FT0297",9
"FT0298",1
"FT0299",2
"FT0300",5
"FT0301",1
"FT0302",5
"FT0303",26
"FT0304",23
"FT0305",42.5
"FT0306",50
"FT0307",2
"FT0308",0
"FT0309",18
"FT0310",2
"FT0311",4
"FT0312",-1
"FT0313",2
"FT0314",0
"FT0315",2
"FT0316",3
"FT0317",0
"FT0318",4
"FT0319",5
"FT0320",5
"FT0321",5
"FT0322",26
"FT0323",1
"FT0324",9
"FT0325",3
"FT0326",4
"FT0327",0
"FT0328",3
"FT0329",29
"FT0330",1
"FT0331",5
"FT0332",0
"FT0333",41
"FT0334",17
"FT0335",14
