"feature","filename","mzmin","mzmax","rtmin","rtmax"
"FT001","mzMLs/190715_Blk_KM1906U14-Blk_C.mzML",62.9824142456055,62.9824447631836,1225.1943359375,1285.66076660156
"FT001","mzMLs/190715_Blk_KM1906U14-Blk_C.mzML",62.9824180603027,62.9824638366699,1261.38977050781,1285.66076660156
"FT001","mzMLs/190715_Poo_TruePooFK180310_Full1.mzML",62.9824523925781,62.9825019836426,1234.95544433594,1285.18725585938
"FT001","mzMLs/190715_Poo_TruePooFK180310_Full2.mzML",62.9824371337891,62.9825057983398,1256.21508789062,1288.21984863281
"FT001","mzMLs/190715_Poo_TruePooFK180310_Full3.mzML",62.9824676513672,62.9825096130371,1220.40405273438,1294.68493652344
"FT001","mzMLs/190715_Poo_TruePooFK180310_Half2.mzML",62.9824485778809,62.9824829101562,1171.6826171875,1277.17309570312
"FT001","mzMLs/190715_Poo_TruePooFK180310_Half3.mzML",62.9824752807617,62.9825248718262,1189.75952148438,1289.9248046875
"FT001","mzMLs/190715_Smp_FK180310S62C1-25m_A.mzML",62.9824409484863,62.9825019836426,1231.88488769531,1284.51892089844
"FT001","mzMLs/190715_Smp_FK180310S62C1-25m_B.mzML",62.9824256896973,62.9824714660645,1228.35888671875,1294.87976074219
"FT001","mzMLs/190715_Smp_FK180310S62C1-25m_C.mzML",62.9824333190918,62.9825134277344,1227.89074707031,1277.46240234375
"FT001","mzMLs/190715_Smp_FK180310S62C1-DCM_A.mzML",62.9824600219727,62.9825172424316,1249.95581054688,1276.16162109375
"FT001","mzMLs/190715_Smp_FK180310S62C1-DCM_B.mzML",62.9824485778809,62.9824981689453,1261.29382324219,1275.33129882812
"FT001","mzMLs/190715_Smp_FK180310S62C1-DCM_C.mzML",62.982421875,62.9824752807617,1233.87524414062,1290.80358886719
"FT001","mzMLs/190715_Smp_FK180310S64C1-25m_A.mzML",62.9824295043945,62.982479095459,1249.00927734375,1286.75085449219
"FT001","mzMLs/190715_Smp_FK180310S64C1-25m_B.mzML",62.9824638366699,62.9825172424316,1248.48010253906,1274.064453125
"FT001","mzMLs/190715_Smp_FK180310S64C1-25m_C.mzML",62.9824600219727,62.9825096130371,1209.25146484375,1289.90966796875
"FT001","mzMLs/190715_Smp_FK180310S64C1-DCM_A.mzML",62.9824867248535,62.9825553894043,1228.36242675781,1278.74157714844
"FT001","mzMLs/190715_Smp_FK180310S64C1-DCM_B.mzML",62.9824523925781,62.9825057983398,1265.73352050781,1292.47241210938
"FT001","mzMLs/190715_Smp_FK180310S64C1-DCM_C.mzML",62.9824066162109,62.9824523925781,1260.37170410156,1286.16198730469
"FT001","mzMLs/190715_Smp_FK180310S77C1-25m_A.mzML",62.9823989868164,62.9824485778809,1259.97984,1292.77974
"FT001","mzMLs/190715_Smp_FK180310S77C1-25m_B.mzML",62.9824142456055,62.982479095459,1259.26391601562,1288.74755859375
"FT001","mzMLs/190715_Smp_FK180310S77C1-25m_B.mzML",62.9824066162109,62.9824562072754,1244.10620117188,1264.61279296875
"FT001","mzMLs/190715_Smp_FK180310S77C1-25m_C.mzML",62.9824523925781,62.9824981689453,1244.31225585938,1287.60327148438
"FT001","mzMLs/190715_Smp_FK180310S77C1-DCM_A.mzML",62.9824295043945,62.9824676513672,1246.7412109375,1274.29931640625
"FT001","mzMLs/190715_Smp_FK180310S77C1-DCM_B.mzML",62.9824371337891,62.982479095459,1225.7705078125,1273.86645507812
"FT001","mzMLs/190715_Smp_FK180310S77C1-DCM_C.mzML",62.9824295043945,62.9824638366699,1228.20239257812,1294.87976074219
"FT001","mzMLs/190715_Smp_FK180310S80C1-25m_A.mzML",62.9824256896973,62.9824562072754,1240.79943847656,1292.55908203125
"FT001","mzMLs/190715_Smp_FK180310S80C1-25m_B.mzML",62.9824600219727,62.9824905395508,1162.54467773438,1273.79919433594
"FT001","mzMLs/190715_Smp_FK180310S80C1-25m_C.mzML",62.9824371337891,62.9825096130371,1225.48522949219,1285.99401855469
"FT001","mzMLs/190715_Smp_FK180310S80C1-DCM_A.mzML",62.9824256896973,62.9824714660645,1242.24133300781,1287.32165527344
"FT001","mzMLs/190715_Smp_FK180310S80C1-DCM_B.mzML",62.9824409484863,62.9824867248535,1239.2109375,1288.14782714844
"FT001","mzMLs/190715_Smp_FK180310S80C1-DCM_C.mzML",62.9824523925781,62.9824905395508,1250.77746582031,1282.15710449219
"FT001","mzMLs/190715_Std_4uMStdsMix1InMatrix_1.mzML",62.9824142456055,62.9824523925781,1209.43786621094,1289.95825195312
"FT001","mzMLs/190715_Std_4uMStdsMix1InMatrix_2.mzML",62.9824371337891,62.982479095459,1253.64440917969,1297.15307617188
"FT001","mzMLs/190715_Std_4uMStdsMix2InMatrix_1.mzML",62.9823951721191,62.9824485778809,1207.26623535156,1292.77978515625
"FT001","mzMLs/190715_Std_H2OinMatrix_1.mzML",62.9824142456055,62.9824562072754,1214.2314453125,1286.3310546875
"FT001","mzMLs/190715_Std_H2OinMatrix_2.mzML",62.9824333190918,62.9824752807617,1204.23107910156,1291.33447265625
"FT001","mzMLs/190715_Poo_TruePooFK180310_Half1.mzML",62.9823793865514,62.9825368426967,1234.95544433594,1278.46374511719
"FT001","mzMLs/190715_Std_4uMStdsMix1InH2O_1.mzML",62.9823793865514,62.9825368426967,1234.95544433594,1286.75085449219
"FT001","mzMLs/190715_Std_4uMStdsMix1InH2O_2.mzML",62.9823793865514,62.9825368426967,1234.95544433594,1286.75085449219
"FT001","mzMLs/190715_Std_4uMStdsMix2InH2O_1.mzML",62.9823793865514,62.9825368426967,1234.95544433594,1286.75085449219
"FT001","mzMLs/190715_Std_4uMStdsMix2InH2O_2.mzML",62.9823793865514,62.9825368426967,1234.95544433594,1286.75085449219
"FT001","mzMLs/190715_Std_4uMStdsMix2InMatrix_2.mzML",62.9823793865514,62.9825368426967,1234.95544433594,1286.75085449219
"FT002","mzMLs/190715_Blk_KM1906U14-Blk_C.mzML",62.9823989868164,62.9824523925781,1150.94958496094,1218.72058105469
"FT002","mzMLs/190715_Poo_TruePooFK180310_Full1.mzML",62.9824447631836,62.9824867248535,1158.59729003906,1234.95544433594
"FT002","mzMLs/190715_Poo_TruePooFK180310_Full2.mzML",62.9824371337891,62.982479095459,1159.5478515625,1234.48937988281
"FT002","mzMLs/190715_Poo_TruePooFK180310_Full3.mzML",62.9824676513672,62.9825134277344,1120.48754882812,1233.77563476562
"FT002","mzMLs/190715_Poo_TruePooFK180310_Half2.mzML",62.9824295043945,62.9824752807617,1171.6826171875,1221.85131835938
"FT002","mzMLs/190715_Smp_FK180310S62C1-25m_A.mzML",62.9824447631836,62.9824829101562,1158.39282226562,1231.88488769531
"FT002","mzMLs/190715_Smp_FK180310S62C1-25m_B.mzML",62.9824256896973,62.9824829101562,1104.27416992188,1231.81652832031
"FT002","mzMLs/190715_Smp_FK180310S62C1-25m_C.mzML",62.9824447631836,62.9824867248535,1167.62634277344,1227.89074707031
"FT002","mzMLs/190715_Smp_FK180310S62C1-DCM_A.mzML",62.9824600219727,62.9825286865234,1159.15905761719,1236.22790527344
"FT002","mzMLs/190715_Smp_FK180310S62C1-DCM_B.mzML",62.9824371337891,62.9824905395508,1097.01171875,1230.8994140625
"FT002","mzMLs/190715_Smp_FK180310S62C1-DCM_B.mzML",62.9824447631836,62.9824905395508,1097.01171875,1223.888671875
"FT002","mzMLs/190715_Smp_FK180310S62C1-DCM_C.mzML",62.9824295043945,62.9824714660645,1127.50170898438,1233.87524414062
