feature,min_mz,max_mz,min_rt,max_rt,mean_mz,feat_class
FT0001,60.08146286,60.08164597,392.4290466,472.3305664,60.08155441,Ambiguous
FT0002,60.08144116,60.08159137,3.88593626,55.98667908,60.08151627,Ambiguous
FT0003,60.08143544,60.08158565,331.1358337,402.5939941,60.08151054,Stans only
FT0004,62.06064987,62.06084061,635.1154175,825.6652832,62.06074524,Bad
FT0005,62.06065369,62.06084824,730.2858276,902.7330322,62.06075096,Bad
FT0006,62.0606575,62.06085715,479.0940247,657.8851318,62.06075732,Bad
FT0007,62.06066513,62.06084189,442.625885,626.3636475,62.06075351,Bad
FT0008,62.0606575,62.06084442,397.5562744,517.9657593,62.06075096,Bad
FT0009,62.06066957,62.06082472,111.5192871,230.554718,62.06074715,Bad
FT0010,62.0606648,62.06081995,0.325814575,112.8979645,62.06074238,Bad
FT0011,62.98236222,62.98251968,1175.027588,1312.492859,62.98244095,Bad
FT0012,62.98237176,62.98252921,4.795539379,108.8930283,62.98245049,Bad
FT0013,62.98236084,62.98252731,294.9710999,384.7070313,62.98244407,Bad
FT0014,62.98236465,62.98254013,325.5825195,427.7607117,62.98245239,Bad
FT0015,62.98236413,62.98252158,228.8462372,325.5825195,62.98244286,Bad
FT0016,62.9823494,62.98254013,397.3673096,532.6954346,62.98244476,Bad
FT0017,62.98235703,62.98253112,60.43740463,214.484375,62.98244407,Bad
FT0018,62.98235321,62.98252158,141.290741,263.2516479,62.9824374,Bad
FT0019,62.98237366,62.9825325,453.3773499,540.934082,62.98245308,Bad
FT0020,64.01641846,64.01657859,384.7944031,490.9119568,64.01649852,Bad
FT0021,64.01638803,64.01654807,1186.952515,1311.480119,64.01646805,Bad
FT0022,64.01639947,64.01656342,653.1902466,782.381958,64.01648144,Bad
FT0023,64.0164071,64.01656714,777.9675903,882.2299194,64.01648712,Bad
FT0024,64.01641092,64.01657104,291.2599792,373.2667542,64.01649098,Bad
FT0025,70.06560516,70.06600952,0.325814562,98.85923767,70.06580734,Ambiguous
FT0026,70.06567383,70.06589874,495.6250305,598.4439697,70.06578628,Good
FT0027,70.06568909,70.06591797,1227.588257,1308.019199,70.06580353,Bad
FT0028,70.06569672,70.06589508,188.8961945,308.017334,70.0657959,Bad
FT0029,70.06571198,70.06595612,398.4884949,481.799408,70.06583405,Bad
FT0030,70.06568909,70.06590271,410.991333,516.5502319,70.0657959,Ambiguous
FT0031,70.06571785,70.06589302,87.77792358,210.8144531,70.06580544,Bad
FT0032,70.06568909,70.06587585,587.4063721,710.4248047,70.06578247,Bad
FT0033,70.06569672,70.06593323,320.2886963,424.1835632,70.06581497,Bad
FT0034,72.08133843,72.08151863,226.682312,344.3512878,72.08142853,Bad
FT0035,72.08122253,72.08170319,0.325814562,136.7391052,72.08146286,Ambiguous
FT0036,72.08132935,72.08154297,95.02017212,194.7976532,72.08143616,Bad
FT0037,72.08132172,72.08152817,440.2110901,573.8930664,72.08142494,Ambiguous
FT0038,72.08133698,72.08155823,1226.771851,1308.019199,72.0814476,Bad
FT0039,72.0813446,72.0815506,352.82724,479.9015503,72.0814476,Bad
FT0040,72.08137657,72.08155678,621.7142334,732.3545532,72.08146667,Bad
FT0041,73.07656881,73.07678223,614.2266235,706.9986572,73.07667552,Ambiguous
FT0042,73.07659551,73.07688141,0.325814575,60.92420959,73.07673846,Bad
FT0043,73.0765686,73.07677439,407.7754822,488.0732117,73.0766715,Bad
FT0044,73.07658407,73.07676676,292.1290283,417.5869141,73.07667542,Bad
FT0045,73.07657263,73.07675934,499.0800171,613.0823975,73.07666598,Bad
FT0046,73.07659149,73.07678986,1252.662842,1306.096619,73.07669067,Bad
FT0047,73.07659912,73.07683563,10.88681221,120.0898438,73.07671738,Bad
FT0048,73.0765686,73.07676295,77.74018097,182.2641602,73.07666577,Bad
FT0049,73.07658788,73.07677058,218.346756,302.0937195,73.07667923,Bad
FT0050,73.07658216,73.07676485,442.0598145,521.456604,73.07667351,Bad
FT0051,73.07657263,73.07675532,570.4675903,646.4315186,73.07666397,Bad
FT0052,73.07658216,73.0767746,719.9127197,797.1584473,73.07667838,Bad
FT0053,73.08457184,73.08496857,0.325814575,83.32847595,73.0847702,Bad
FT0054,73.08465576,73.08493805,97.05924988,193.6001282,73.08479691,Bad
FT0055,73.08465576,73.08488464,172.78125,228.4546967,73.0847702,Bad
FT0056,74.06057739,74.06080627,1217.868774,1308.019199,74.06069183,Bad
FT0057,74.06058502,74.06082153,621.4117432,755.8197632,74.06070328,Stans only
FT0058,74.06061261,74.06082153,0.325814575,91.07322693,74.06071707,Bad
FT0059,74.06058781,74.06079102,814.5136108,878.6320801,74.06068941,Bad
FT0060,74.06049347,74.06091309,393.2496948,447.9769897,74.06070328,Ambiguous
FT0061,74.06060028,74.06089783,429.127655,511.7750854,74.06074905,Bad
FT0062,74.09686279,74.09725952,0.325814562,126.3911591,74.09706116,Bad
FT0063,74.09697235,74.09715759,136.0861053,201.2131653,74.09706497,Bad
FT0064,74.09696472,74.09714996,595.2214966,660.9044189,74.09705734,Bad
FT0065,74.0969696,74.09717476,642.7237549,702.878418,74.09707218,Bad
FT0066,75.05580139,75.05601347,1067.117798,1189.604492,75.05590743,Bad
FT0067,75.05581438,75.05600202,719.210083,841.6017456,75.0559082,Bad
FT0068,75.05582392,75.05601156,1017.39093,1118.563354,75.05591774,Bad
FT0069,75.05582428,75.05602491,985.5949707,1086.290771,75.0559246,Bad
FT0070,75.05580902,75.05604553,1229.506226,1308.019199,75.05592728,Bad
FT0071,75.05581665,75.0560379,587.8634644,741.3765869,75.05592728,Bad
FT0072,75.05579376,75.05606079,749.6769409,883.9550171,75.05592728,Bad
FT0073,75.05579376,75.05603027,865.8273926,1068.948608,75.05591202,Bad
FT0074,75.05580139,75.05604553,652.0981445,767.6837769,75.05592346,Bad
FT0075,75.05576324,75.05604553,434.9911804,558.6696777,75.05590439,Bad
FT0076,75.05580139,75.05603254,488.2128296,613.6530151,75.05591697,Bad
FT0077,75.05581665,75.0560379,1122.636597,1247.744751,75.05592728,Bad
FT0078,75.05579376,75.05607605,408.9767761,449.7331543,75.05593491,Bad
FT0079,75.09388733,75.09425354,4.883440971,77.87030029,75.09407043,Bad
FT0080,75.09405095,75.09423869,329.4586792,404.0679321,75.09414482,Bad
FT0081,75.09391022,75.09423065,279.7538757,391.4133301,75.09407043,Bad
FT0082,75.10019684,75.10058594,0.325814562,120.4328766,75.10039139,Bad
FT0083,75.1003204,75.10050964,116.2817764,215.4302673,75.10041502,Bad
FT0084,75.10031128,75.10053104,615.4640503,744.1299438,75.10042116,Bad
FT0085,76.07614899,76.07644653,346.9472046,503.692749,76.07629776,Good
FT0086,76.07614136,76.07650757,444.2659302,664.6873779,76.07632446,Bad
FT0087,76.07615662,76.0764389,284.8608398,370.9547119,76.07629776,Bad
FT0088,76.07617188,76.07649231,626.1504517,722.4350586,76.07633209,Bad
FT0089,76.07618713,76.07646179,670.5978394,778.4761963,76.07632446,Bad
FT0090,76.07614136,76.0764389,722.4350586,835.1895142,76.07629013,Bad
FT0091,76.07617188,76.07646942,0.325814575,76.4495163,76.07632065,Bad
FT0092,77.07949066,77.07979584,371.7637939,452.3910828,77.07964325,Good
FT0093,78.95617152,78.95636891,1215.545776,1302.488759,78.95627022,Bad
FT0094,80.04985809,80.05020905,0.325814562,86.14466095,80.05003357,Bad
FT0095,80.94835272,80.94855509,4.795539379,74.78003693,80.9484539,Bad
FT0096,80.94829559,80.9486084,302.1905518,400.2279053,80.948452,Bad
FT0097,82.0142026,82.01440763,635.6478271,767.8095703,82.01430511,Bad
FT0098,82.01420641,82.01441145,767.1794434,888.489502,82.01430893,Bad
FT0099,82.01422167,82.01445007,1173.779785,1304.197259,82.01433587,Bad
FT0100,82.01420641,82.01443481,4.795539379,50.46263504,82.01432061,Bad
FT0101,82.01423121,82.01443624,873.078186,1011.929565,82.01433372,Bad
FT0102,83.06080627,83.0610733,0.325814575,133.447403,83.06093979,Bad
FT0103,84.04483795,84.04508224,666.973938,793.8278809,84.0449601,Ambiguous
FT0104,84.04483032,84.04508972,594.3135986,707.0079956,84.04496002,Ambiguous
FT0105,84.0447998,84.04508972,850.909668,970.9241943,84.04494476,Bad
FT0106,84.04480743,84.04510498,783.8526611,889.7908936,84.04495621,Bad
FT0107,84.04483032,84.04512024,1219.066162,1292.239746,84.04497528,Bad
FT0108,84.04489136,84.04510895,534.4827271,615.7911377,84.04500015,Stans only
FT0109,84.04490837,84.04511848,327.0107727,509.1665649,84.04501343,Stans only
FT0110,84.08123187,84.08144208,509.4052124,613.2929688,84.08133698,Stans only
FT0111,84.08122043,84.08148956,485.6711426,546.6821289,84.081355,Stans only
FT0112,84.08119965,84.08148404,427.3388672,493.4147644,84.08134184,Bad
FT0113,84.08110809,84.08137512,366.5742188,416.5449829,84.08124161,Bad
FT0114,85.0288034,85.02901597,230.9061584,317.6792297,85.02890968,Stans only
FT0115,85.02880149,85.02901406,316.0529175,396.5343323,85.02890778,Stans only
FT0116,85.02884154,85.02905412,88.94389343,170.8965759,85.02894783,Stans only
FT0117,85.02878571,85.02905984,411.5592957,493.2814636,85.02892277,Stans only
FT0118,85.02881622,85.02905273,164.4651642,223.6596375,85.02893448,Bad
FT0119,85.07645416,85.07670593,1213.600464,1315.344471,85.07658005,Bad
FT0120,85.07645416,85.07669067,627.3311768,717.4974976,85.07657242,Ambiguous
FT0121,85.0764203,85.07668304,556.3748169,630.4226685,85.07655167,Bad
FT0122,85.07642411,85.0766368,688.3474121,779.1864624,85.07653046,Bad
FT0123,85.07649231,85.07670593,1.945486903,63.91602325,85.07659912,Bad
FT0124,85.07656097,85.07674408,1401.120051,1421.54989,85.07665253,Bad
FT0125,86.06044006,86.06073761,0.325814575,59.06448746,86.06058884,Bad
FT0126,86.06048508,86.06070709,651.9445801,752.8042603,86.06059608,Good
FT0127,86.06048584,86.06070709,625.8001099,699.3677979,86.06059647,Stans only
FT0128,86.06048584,86.06073837,510.0785522,598.3901367,86.06061211,Bad
FT0129,86.06046028,86.06069946,1236.564941,1306.979759,86.06057987,Bad
FT0130,86.06050873,86.0607441,120.3832474,177.6219788,86.06062641,Bad
FT0131,86.06042786,86.06064301,593.4168701,656.5067749,86.06053543,Stans only
FT0132,86.06047935,86.06069451,149.7487946,212.6039124,86.06058693,Bad
FT0133,86.06044693,86.06070709,416.1545715,485.7091064,86.06057701,Bad
FT0134,86.09685516,86.09716034,367.5204468,483.0456543,86.09700775,Ambiguous
FT0135,86.09693909,86.09716797,410.4179993,516.5465088,86.09705353,Ambiguous
FT0136,86.09674835,86.09715271,1.582628727,51.58472824,86.09695053,Bad
FT0137,86.09686279,86.09715271,525.9481201,612.5405884,86.09700775,Bad
FT0138,86.0969162,86.09713745,321.7474365,409.6184082,86.09702682,Bad
FT0139,86.0969192,86.09713745,51.70667648,171.7506409,86.09702833,Bad
FT0140,86.0969192,86.09713445,286.4405518,403.6297302,86.09702682,Bad
FT0141,86.09691157,86.09712682,257.1801758,353.7919312,86.0970192,Bad
FT0142,86.09692493,86.09714017,168.5331421,288.4561768,86.09703255,Bad
FT0143,86.09691157,86.09712682,137.7806396,235.3361816,86.0970192,Bad
FT0144,86.09690585,86.09712109,640.263855,737.9168701,86.09701347,Bad
FT0145,87.04439545,87.0447464,654.1636353,758.9862061,87.04457092,Good
FT0146,87.04446411,87.04469117,86.99630737,141.9566498,87.04457764,Stans only
FT0147,87.04447165,87.04469299,125.6309662,167.4194031,87.04458232,Stans only
FT0148,87.04444885,87.04469299,162.3783264,214.7983093,87.04457092,Bad
FT0149,87.04446975,87.04470062,567.4043579,653.0656738,87.04458518,Good
FT0150,87.044487,87.04475602,206.3518066,257.6297302,87.04462151,Bad
FT0151,87.05568695,87.05600739,1231.730271,1363.02661,87.05584717,Bad
FT0152,87.05566406,87.05595398,616.4521484,743.5290527,87.05580902,Bad
FT0153,87.0556488,87.05593872,790.1575928,881.2879028,87.05579376,Bad
FT0154,87.05568695,87.05591583,882.7745361,958.1032715,87.05580139,Bad
FT0155,87.05566968,87.05591583,713.4076538,782.5716553,87.05579276,Bad
FT0156,87.05580902,87.05599976,1402.143591,1421.54989,87.05590439,Bad
FT0157,87.09207916,87.09233856,609.0891724,735.8916626,87.09220886,Bad
FT0158,87.09208679,87.09234619,1238.927002,1308.019199,87.09221649,Bad
FT0159,87.09198761,87.09241486,0.325814575,84.35639954,87.09220123,Bad
FT0160,87.09207916,87.09235382,649.2830811,839.1994629,87.09221649,Bad
FT0161,87.09204865,87.0923996,507.2833252,622.5645752,87.09222412,Bad
FT0162,87.09205627,87.09233856,554.0775146,656.887207,87.09219742,Bad
FT0163,87.09211526,87.09233856,710.9197998,858.4420776,87.09222691,Bad
FT0164,87.09208679,87.09234825,765.020874,876.9909668,87.09221752,Bad
FT0165,87.09207153,87.09234619,790.1497803,899.4430542,87.09220886,Bad
FT0166,87.09205627,87.09250641,418.0481873,565.6309814,87.09228134,Bad
FT0167,87.09210205,87.09253693,402.0500183,472.200531,87.09231949,Bad
FT0168,87.09210205,87.09234062,85.71260071,218.2970428,87.09222133,Bad
FT0169,87.09211731,87.09236145,300.7065735,412.5981445,87.09223938,Bad
FT0170,87.09211907,87.0923368,892.2190552,958.489624,87.09222794,Bad
FT0171,88.07598114,88.07640839,0.325814562,82.17695618,88.07619476,Bad
FT0172,88.07608795,88.07634735,185.3095093,291.5447388,88.07621765,Good
FT0173,88.07610321,88.07637787,1251.826538,1368.09847,88.07624054,Bad
FT0174,88.07611084,88.07637352,651.4274902,757.8931274,88.07624218,Bad
FT0175,88.07608795,88.07634735,382.6168823,451.4725647,88.07621765,Bad
FT0176,88.11237335,88.11286926,1.517076254,81.80719757,88.11262131,Bad
FT0177,88.11254168,88.11276197,136.6425934,189.8801575,88.11265182,Bad
FT0178,88.11256409,88.11278867,312.181366,409.6721802,88.11267638,Bad
FT0179,89.11589355,89.11611634,4.301088333,58.74284744,89.11600494,Bad
FT0180,89.11589736,89.11612701,136.6425934,187.9893341,89.11601219,Bad
FT0181,89.11587448,89.11609727,182.2641602,233.6397247,89.11598587,Bad
FT0182,89.11589355,89.11611634,207.5001526,274.4117737,89.11600494,Bad
FT0183,89.11589927,89.11612206,92.52366638,139.1660919,89.11601067,Bad
FT0184,90.03759766,90.03782464,125.4569473,184.9835052,90.03771115,Stans only
FT0185,90.0552597,90.0556488,612.2905273,709.2940674,90.05545425,Good
FT0186,90.05529785,90.05569458,643.6480713,775.3214111,90.05549622,Good
FT0187,90.05535122,90.05558014,577.6200562,679.0346069,90.05546568,Good
FT0188,90.0552597,90.05558777,776.8914795,897.0484619,90.05542374,Bad
FT0189,90.05531311,90.05562592,1231.086304,1303.963379,90.05546951,Bad
FT0190,90.05529785,90.0555954,747.0932617,814.6453247,90.05544662,Bad
FT0191,90.05521393,90.05558014,882.0775146,970.8709717,90.05539703,Bad
FT0192,90.05535504,90.0556488,533.1838989,608.6124268,90.05550192,Stans only
FT0193,90.05526733,90.05560303,452.9336243,500.1802979,90.05543518,Bad
FT0194,90.05540463,90.0556488,1051.418823,1101.298462,90.05552672,Bad
FT0195,90.09179679,90.09208679,1.998784542,32.59677124,90.09194179,Bad
FT0196,91.05453491,91.05483246,78.85250092,129.7692413,91.05468369,Bad
FT0197,91.05458131,91.05483246,196.5691833,264.6554565,91.05470688,Stans only
FT0198,91.05458894,91.05486298,115.0739822,172.6378632,91.05472596,Good
FT0199,91.05458131,91.05483246,155.9580078,201.8989563,91.05470688,Bad
FT0200,91.05456605,91.05479431,333.5846863,406.1113281,91.05468018,Bad
FT0201,91.05455079,91.05480194,0.325814575,65.18350983,91.05467637,Bad
FT0202,93.04511261,93.0453815,461.7862549,544.4086304,93.04524706,Stans only
FT0203,93.0450592,93.04534912,522.1522217,573.8287354,93.04520416,Stans only
FT0204,93.04513745,93.0454483,430.4710083,474.2813721,93.04529288,Stans only
FT0205,93.07024194,93.07047461,213.5191345,245.6784363,93.07035828,Stans only
FT0206,93.07408905,93.07457733,642.5953979,714.9472046,93.07433319,Good
FT0207,93.07408142,93.07453156,699.1160278,818.6588745,93.07430649,Bad
FT0208,93.07420349,93.07445526,836.4766846,940.2838135,93.07432938,Bad
FT0209,94.0453949,94.04566123,840.1043091,931.2583618,94.04552806,Bad
FT0210,94.04540253,94.04566193,593.670105,747.0662842,94.04553223,Ambiguous
FT0211,94.04541016,94.04568481,1208.725342,1312.492859,94.04554749,Bad
FT0212,94.04541779,94.04566313,3.683074236,64.19134521,94.04554046,Bad
FT0213,94.06537628,94.06576538,0.325814562,118.3447037,94.06557083,Bad
FT0214,94.06547546,94.06574754,292.0753174,403.0422058,94.0656115,Bad
FT0215,94.06545258,94.06575012,442.4546814,518.4962769,94.06560135,Bad
FT0216,94.06549072,94.06577424,349.7372437,416.8769226,94.06563248,Bad
FT0217,94.06552124,94.06579141,410.5672607,455.217865,94.06565633,Bad
FT0218,95.06071472,95.0610199,105.1085129,182.2641602,95.06086731,Bad
FT0219,95.06073704,95.06097469,219.0740204,272.6621094,95.06085587,Bad
FT0220,95.06072998,95.06099701,0.325814575,100.5720978,95.06086349,Bad
FT0221,95.06073704,95.06099701,423.1664429,471.3754883,95.06086702,Bad
FT0222,95.06073761,95.06101227,461.5495605,547.2412109,95.06087494,Bad
FT0223,95.06080627,95.06105099,522.9226074,629.8858643,95.06092863,Bad
FT0224,95.06078472,95.06102238,272.6621094,317.3382874,95.06090355,Bad
FT0225,95.06077519,95.06101284,185.6496277,228.9043274,95.06089401,Bad
FT0226,95.0608139,95.06108913,348.7937927,461.5495605,95.06095152,Bad
FT0227,95.06069183,95.06107769,1150.167725,1206.669434,95.06088476,Bad
FT0228,95.06068554,95.06092319,1262.178711,1299.700379,95.06080437,Bad
FT0229,95.06079617,95.06103382,650.7219849,719.2915649,95.06091499,Bad
FT0230,96.08099365,96.08154297,0.325814575,111.7938995,96.08126831,Bad
FT0231,96.08109283,96.08136934,78.47416687,210.5051117,96.08123109,Bad
FT0232,96.0810318,96.08139801,401.9139099,465.6691895,96.0812149,Bad
FT0233,96.08106995,96.0814209,1254.325195,1307.031719,96.08124542,Bad
FT0234,96.08106995,96.08139038,305.5007324,415.5091248,96.08123016,Bad
FT0235,96.08112335,96.08139801,425.9264832,556.487854,96.08126068,Bad
FT0236,96.08111572,96.08136749,250.2362366,347.9987793,96.08124161,Bad
FT0237,96.08108521,96.08144379,649.6660156,713.0610352,96.0812645,Bad
FT0238,96.08110625,96.08134645,206.7917023,311.1456909,96.08122635,Bad
FT0239,97.07621765,97.07666016,0.325814575,77.43082428,97.0764389,Bad
FT0240,97.07633209,97.07663727,448.834137,553.5027466,97.07648468,Bad
FT0241,97.07631683,97.07666779,1217.43103,1308.019199,97.07649231,Bad
FT0242,97.07627869,97.07668304,526.4572144,619.4907227,97.07648087,Stans only
FT0243,97.07631683,97.07658386,579.432251,734.9916382,97.07645035,Bad
FT0244,97.07636261,97.07665253,103.7456665,213.1231079,97.07650757,Bad
FT0245,97.07636261,97.07663727,302.0159912,416.9729309,97.07649994,Bad
FT0246,97.07639313,97.0766983,386.6187744,474.8473511,97.07654572,Bad
FT0247,97.99162292,97.9919281,1200.289673,1308.019199,97.99177551,Bad
FT0248,97.9916153,97.99189758,754.1496582,898.2444458,97.99175644,Bad
FT0249,97.99163055,97.99190521,863.1429443,1039.7948,97.99176788,Bad
FT0250,97.99164581,97.99191284,641.9107666,775.3336792,97.99177933,Bad
FT0251,97.99160767,97.99187702,613.6740723,714.8594971,97.99174234,Bad
FT0252,97.99161106,97.99185604,1155.036865,1238.61792,97.99173355,Bad
FT0253,97.99160915,97.99185413,1012.774658,1100.258789,97.99173164,Bad
FT0254,97.99161106,97.99185604,1067.762329,1148.201782,97.99173355,Bad
FT0255,97.99161297,97.99185795,987.0357666,1049.87207,97.99173546,Bad
FT0256,97.99161869,97.99186367,1114.241211,1191.55481,97.99174118,Bad
FT0257,97.99162251,97.99186748,491.7948914,588.8644409,97.991745,Bad
FT0258,98.07154083,98.0718689,1231.217896,1313.697239,98.07170486,Bad
FT0259,98.07151031,98.07185364,604.5349121,802.8852539,98.07168198,Bad
FT0260,98.07156372,98.07187653,58.8019104,184.475647,98.07172012,Bad
FT0261,98.0715332,98.07183838,431.2058716,535.2229614,98.07168579,Bad
FT0262,98.07159372,98.07187653,727.2092285,874.7303467,98.07173512,Bad
FT0263,98.07159372,98.0718389,696.666687,800.0779419,98.07171631,Bad
FT0264,98.0715332,98.07189178,382.6168823,462.6203003,98.07171249,Bad
FT0265,98.07157135,98.07184462,0.325814575,90.16882324,98.07170799,Bad
