"IS_name","filename","area"
"DL-Alanine, D3","180821_Std_4uMStdsMix1InH2O_1",0
"DL-Alanine, D3","180821_Std_4uMStdsMix1InH2O_2",0
"DL-Alanine, D3","180821_Std_4uMStdsMix1InH2O_3",5674
"DL-Alanine, D3","180821_Std_4uMStdsMix1InMatrix_1",24169330
"DL-Alanine, D3","180821_Std_4uMStdsMix1InMatrix_2",12335041
"DL-Alanine, D3","180821_Std_4uMStdsMix1InMatrix_3",4832756
"DL-Alanine, D3","180821_Std_4uMStdsMix2InH2O_1",0
"DL-Alanine, D3","180821_Std_4uMStdsMix2InH2O_2",0
"DL-Alanine, D3","180821_Std_4uMStdsMix2InH2O_3",0
"DL-Alanine, D3","180821_Std_4uMStdsMix2InMatrix_1",23806270
"DL-Alanine, D3","180821_Std_4uMStdsMix2InMatrix_2",12849821
"DL-Alanine, D3","180821_Std_4uMStdsMix2InMatrix_3",4514264
"DL-Alanine, D3","180821_Std_H2OInMatrix_1",23835940
"DL-Alanine, D3","180821_Std_H2OInMatrix_2",11987850
"DL-Alanine, D3","180821_Std_H2OInMatrix_3",5401981
"DL-Alanine, D3","180821_Blk_FilterBlank_1",36947860
"DL-Alanine, D3","180821_Blk_MQBlk_1",14471283
"DL-Alanine, D3","180821_Blk_MQBlk_2",17712030
"DL-Alanine, D3","180821_Blk_MQBlk_3",34348400
"DL-Alanine, D3","180821_Blk_SWBlk_1",10069741
"DL-Alanine, D3","180821_Blk_SWBlk_2",9104535
"DL-Alanine, D3","180821_Blk_SWBlk_3",4521282
"DL-Alanine, D3","180821_Poo_Day1and2Poo_Full1",20099978
"DL-Alanine, D3","180821_Poo_Day1and2Poo_Full2",8016828
"DL-Alanine, D3","180821_Poo_Day1and2Poo_Full3",10243337
"DL-Alanine, D3","180821_Poo_Day1and2Poo_Full4",7522470
"DL-Alanine, D3","180821_Poo_Day1and2Poo_Full5",4527122
"DL-Alanine, D3","180821_Poo_Day1and2Poo_Full6",4330348
"DL-Alanine, D3","180821_Poo_Day1and2Poo_Half1",10149513
"DL-Alanine, D3","180821_Poo_Day1and2Poo_Half2",4736466
"DL-Alanine, D3","180821_Poo_Day1and2Poo_Half3",6537282
"DL-Alanine, D3","180821_Poo_Day1and2Poo_Half4",6657918
"DL-Alanine, D3","180821_Poo_Day1and2Poo_Half5",10332063
"DL-Alanine, D3","180821_Poo_Day1and2Poo_Half6",13146865
"DL-Alanine, D3","180821_Poo_MesoScopeQC_1",8257348
"DL-Alanine, D3","180821_Poo_MesoScopeQC_2",8312022
"DL-Alanine, D3","180821_Poo_MesoScopeQC_3",10546296
"DL-Alanine, D3","180821_Poo_MesoScopeQC_4",9662334
"DL-Alanine, D3","180821_Poo_MesoScopeQC_5",4584832
"DL-Alanine, D3","180821_Poo_MesoScopeQC_6",3735570
"DL-Alanine, D3","180821_Smp_MS10C215m_A",7499834
"DL-Alanine, D3","180821_Smp_MS10C215m_B",4958948
"DL-Alanine, D3","180821_Smp_MS10C215m_C",5511784
"DL-Alanine, D3","180821_Smp_MS10C2175m_A",5988059
"DL-Alanine, D3","180821_Smp_MS10C2175m_B",6762112
"DL-Alanine, D3","180821_Smp_MS10C2175m_C",8569702
"DL-Alanine, D3","180821_Smp_MS10C2DCM_A",6488224
"DL-Alanine, D3","180821_Smp_MS10C2DCM_B",19991402
"DL-Alanine, D3","180821_Smp_MS10C2DCM_C",9077287
"DL-Alanine, D3","180821_Smp_MS11C215m_A",9498784
"DL-Alanine, D3","180821_Smp_MS11C215m_B",8647694
"DL-Alanine, D3","180821_Smp_MS11C215m_C",8784183
"DL-Alanine, D3","180821_Smp_MS11C2175m_A",9862615
"DL-Alanine, D3","180821_Smp_MS11C2175m_B",10035803
"DL-Alanine, D3","180821_Smp_MS11C2175m_C",11054896
"DL-Alanine, D3","180821_Smp_MS11C2DCM_A",5123148
"DL-Alanine, D3","180821_Smp_MS11C2DCM_B",6975951
"DL-Alanine, D3","180821_Smp_MS11C2DCM_C",5638603
"DL-Alanine, D3","180821_Smp_MS12C115m_A",5758082
"DL-Alanine, D3","180821_Smp_MS12C115m_B",5095364
"DL-Alanine, D3","180821_Smp_MS12C115m_C",7016468
"DL-Alanine, D3","180821_Smp_MS12C1175m_A",7318610
"DL-Alanine, D3","180821_Smp_MS12C1175m_B",8348958
"DL-Alanine, D3","180821_Smp_MS12C1175m_C",10000468
"DL-Alanine, D3","180821_Smp_MS12C1DCM_A",8913791
"DL-Alanine, D3","180821_Smp_MS12C1DCM_B",13694364
"DL-Alanine, D3","180821_Smp_MS12C1DCM_C",8367507
"DL-Alanine, D3","180821_Smp_MS13C2175m_A",8918443
"DL-Alanine, D3","180821_Smp_MS13C2175m_B",9426656
"DL-Alanine, D3","180821_Smp_MS13C2175m_C",7091019
"DL-Alanine, D3","180821_Smp_MS13C2DCM_A",9911983
"DL-Alanine, D3","180821_Smp_MS13C2DCM_B",10174477
"DL-Alanine, D3","180821_Smp_MS13C2DCM_C",8160354
"DL-Alanine, D3","180821_Smp_MS13C315m_A",3708507
"DL-Alanine, D3","180821_Smp_MS13C315m_B",7660158
"DL-Alanine, D3","180821_Smp_MS13C315m_C",9666319
"DL-Alanine, D3","180821_Smp_MS14C215m_A",7403035
"DL-Alanine, D3","180821_Smp_MS14C215m_B",7484221
"DL-Alanine, D3","180821_Smp_MS14C215m_C",8233990
"DL-Alanine, D3","180821_Smp_MS14C2175m_A",6870234
"DL-Alanine, D3","180821_Smp_MS14C2175m_B",10229575
"DL-Alanine, D3","180821_Smp_MS14C2175m_C",8168593
"DL-Alanine, D3","180821_Smp_MS14C2DCM_A",7831402
"DL-Alanine, D3","180821_Smp_MS14C2DCM_B",15301404
"DL-Alanine, D3","180821_Smp_MS14C2DCM_C",24995232
"DL-Alanine, D3","180821_Smp_MS4C115m_A",17451278
"DL-Alanine, D3","180821_Smp_MS4C115m_B",4418673
"DL-Alanine, D3","180821_Smp_MS4C115m_C",4319920
"DL-Alanine, D3","180821_Smp_MS4C1175m_A",8409409
"DL-Alanine, D3","180821_Smp_MS4C1175m_B",8927369
"DL-Alanine, D3","180821_Smp_MS4C1175m_C",9330267
"DL-Alanine, D3","180821_Smp_MS4C1DCM_A",10620830
"DL-Alanine, D3","180821_Smp_MS4C1DCM_B",7820130
"DL-Alanine, D3","180821_Smp_MS4C1DCM_C",8063781
"DL-Alanine, D3","180821_Smp_MS5C115m_A",9711440
"DL-Alanine, D3","180821_Smp_MS5C115m_B",10761095
"DL-Alanine, D3","180821_Smp_MS5C115m_C",8350516
"DL-Alanine, D3","180821_Smp_MS5C1175m_A",9387101
"DL-Alanine, D3","180821_Smp_MS5C1175m_B",11170459
"DL-Alanine, D3","180821_Smp_MS5C1175m_C",8359205
"DL-Alanine, D3","180821_Smp_MS5C1DCM_A",13941981
"DL-Alanine, D3","180821_Smp_MS5C1DCM_B",18279850
"DL-Alanine, D3","180821_Smp_MS5C1DCM_C",13384744
"DL-Alanine, D3","180821_Smp_MS6C315m_A",7853184
"DL-Alanine, D3","180821_Smp_MS6C315m_B",6190780
"DL-Alanine, D3","180821_Smp_MS6C315m_C",8460925
"DL-Alanine, D3","180821_Smp_MS6C3175m_A",4569231
"DL-Alanine, D3","180821_Smp_MS6C3175m_B",4829329
"DL-Alanine, D3","180821_Smp_MS6C3175m_C",17514982
"DL-Alanine, D3","180821_Smp_MS6C3DCM_A",9755137
"DL-Alanine, D3","180821_Smp_MS6C3DCM_B",10298107
"DL-Alanine, D3","180821_Smp_MS6C3DCM_C",8039133
"DL-Alanine, D3","180821_Smp_MS7C115m_A",8723651
"DL-Alanine, D3","180821_Smp_MS7C115m_B",17788682
"DL-Alanine, D3","180821_Smp_MS7C115m_C",9442310
"DL-Alanine, D3","180821_Smp_MS7C1175m_A",6759697
"DL-Alanine, D3","180821_Smp_MS7C1175m_B",9378373
"DL-Alanine, D3","180821_Smp_MS7C1175m_C",9348379
"DL-Alanine, D3","180821_Smp_MS7C1DCM_A",8285827
"DL-Alanine, D3","180821_Smp_MS7C1DCM_B",7181769
"DL-Alanine, D3","180821_Smp_MS7C1DCM_C",4731664
"DL-Alanine, D3","180821_Smp_MS8C115m_A",9316581
"DL-Alanine, D3","180821_Smp_MS8C115m_B",9529219
"DL-Alanine, D3","180821_Smp_MS8C115m_C",4818577
"DL-Alanine, D3","180821_Smp_MS8C1175m_A",5458884
"DL-Alanine, D3","180821_Smp_MS8C1175m_B",11330040
"DL-Alanine, D3","180821_Smp_MS8C1175m_C",4568126
"DL-Alanine, D3","180821_Smp_MS8C1DCM_A",5262983
"DL-Alanine, D3","180821_Smp_MS8C1DCM_B",12610167
"DL-Alanine, D3","180821_Smp_MS8C1DCM_C",8341306
"DL-Alanine, D3","180821_Smp_MS9C215m_A",7565270
"DL-Alanine, D3","180821_Smp_MS9C215m_B",8494234
"DL-Alanine, D3","180821_Smp_MS9C215m_C",9152827
"DL-Alanine, D3","180821_Smp_MS9C2175m_A",5173763
"DL-Alanine, D3","180821_Smp_MS9C2175m_B",9615096
"DL-Alanine, D3","180821_Smp_MS9C2175m_C",7354374
"DL-Alanine, D3","180821_Smp_MS9C2DCM_A",7166338
"DL-Alanine, D3","180821_Smp_MS9C2DCM_B",10367719
"DL-Alanine, D3","180821_Smp_MS9C2DCM_C",9384624
"DL-Histidine, 15N","180821_Std_4uMStdsMix1InH2O_1",1777779
"DL-Histidine, 15N","180821_Std_4uMStdsMix1InH2O_2",1926092
"DL-Histidine, 15N","180821_Std_4uMStdsMix1InH2O_3",4139994
"DL-Histidine, 15N","180821_Std_4uMStdsMix1InMatrix_1",58828424
"DL-Histidine, 15N","180821_Std_4uMStdsMix1InMatrix_2",17494202
"DL-Histidine, 15N","180821_Std_4uMStdsMix1InMatrix_3",19411674
"DL-Histidine, 15N","180821_Std_4uMStdsMix2InH2O_1",0
"DL-Histidine, 15N","180821_Std_4uMStdsMix2InH2O_2",0
"DL-Histidine, 15N","180821_Std_4uMStdsMix2InH2O_3",11157
"DL-Histidine, 15N","180821_Std_4uMStdsMix2InMatrix_1",54395568
"DL-Histidine, 15N","180821_Std_4uMStdsMix2InMatrix_2",18460594
"DL-Histidine, 15N","180821_Std_4uMStdsMix2InMatrix_3",17012364
"DL-Histidine, 15N","180821_Std_H2OInMatrix_1",48068044
"DL-Histidine, 15N","180821_Std_H2OInMatrix_2",12739419
"DL-Histidine, 15N","180821_Std_H2OInMatrix_3",14636290
"DL-Histidine, 15N","180821_Blk_FilterBlank_1",69423920
"DL-Histidine, 15N","180821_Blk_MQBlk_1",18017908
"DL-Histidine, 15N","180821_Blk_MQBlk_2",18782834
"DL-Histidine, 15N","180821_Blk_MQBlk_3",64102832
"DL-Histidine, 15N","180821_Blk_SWBlk_1",14072894
"DL-Histidine, 15N","180821_Blk_SWBlk_2",11584072
"DL-Histidine, 15N","180821_Blk_SWBlk_3",8377978
"DL-Histidine, 15N","180821_Poo_Day1and2Poo_Full1",39137000
"DL-Histidine, 15N","180821_Poo_Day1and2Poo_Full2",11111885
"DL-Histidine, 15N","180821_Poo_Day1and2Poo_Full3",13110627
"DL-Histidine, 15N","180821_Poo_Day1and2Poo_Full4",9875187
"DL-Histidine, 15N","180821_Poo_Day1and2Poo_Full5",8548672
"DL-Histidine, 15N","180821_Poo_Day1and2Poo_Full6",9874125
"DL-Histidine, 15N","180821_Poo_Day1and2Poo_Half1",21581206
"DL-Histidine, 15N","180821_Poo_Day1and2Poo_Half2",6657448
"DL-Histidine, 15N","180821_Poo_Day1and2Poo_Half3",6823471
"DL-Histidine, 15N","180821_Poo_Day1and2Poo_Half4",6692191
"DL-Histidine, 15N","180821_Poo_Day1and2Poo_Half5",10427377
"DL-Histidine, 15N","180821_Poo_Day1and2Poo_Half6",17170156
"DL-Histidine, 15N","180821_Poo_MesoScopeQC_1",12306825
"DL-Histidine, 15N","180821_Poo_MesoScopeQC_2",12013864
"DL-Histidine, 15N","180821_Poo_MesoScopeQC_3",13419857
"DL-Histidine, 15N","180821_Poo_MesoScopeQC_4",12493024
"DL-Histidine, 15N","180821_Poo_MesoScopeQC_5",9503031
"DL-Histidine, 15N","180821_Poo_MesoScopeQC_6",8674607
"DL-Histidine, 15N","180821_Smp_MS10C215m_A",11001266
"DL-Histidine, 15N","180821_Smp_MS10C215m_B",11002940
"DL-Histidine, 15N","180821_Smp_MS10C215m_C",8163130
"DL-Histidine, 15N","180821_Smp_MS10C2175m_A",9756367
"DL-Histidine, 15N","180821_Smp_MS10C2175m_B",9693927
"DL-Histidine, 15N","180821_Smp_MS10C2175m_C",11588116
"DL-Histidine, 15N","180821_Smp_MS10C2DCM_A",9511769
"DL-Histidine, 15N","180821_Smp_MS10C2DCM_B",16536369
"DL-Histidine, 15N","180821_Smp_MS10C2DCM_C",11598184
"DL-Histidine, 15N","180821_Smp_MS11C215m_A",26736098
"DL-Histidine, 15N","180821_Smp_MS11C215m_B",12020354
"DL-Histidine, 15N","180821_Smp_MS11C215m_C",11655415
"DL-Histidine, 15N","180821_Smp_MS11C2175m_A",12122968
"DL-Histidine, 15N","180821_Smp_MS11C2175m_B",12579453
"DL-Histidine, 15N","180821_Smp_MS11C2175m_C",12108154
"DL-Histidine, 15N","180821_Smp_MS11C2DCM_A",6603631
"DL-Histidine, 15N","180821_Smp_MS11C2DCM_B",9722266
"DL-Histidine, 15N","180821_Smp_MS11C2DCM_C",8981986
"DL-Histidine, 15N","180821_Smp_MS12C115m_A",11523600
"DL-Histidine, 15N","180821_Smp_MS12C115m_B",9138387
"DL-Histidine, 15N","180821_Smp_MS12C115m_C",7666255
"DL-Histidine, 15N","180821_Smp_MS12C1175m_A",9328353
"DL-Histidine, 15N","180821_Smp_MS12C1175m_B",13566738
"DL-Histidine, 15N","180821_Smp_MS12C1175m_C",10539751
"DL-Histidine, 15N","180821_Smp_MS12C1DCM_A",12092069
"DL-Histidine, 15N","180821_Smp_MS12C1DCM_B",11906834
"DL-Histidine, 15N","180821_Smp_MS12C1DCM_C",9133844
"DL-Histidine, 15N","180821_Smp_MS13C2175m_A",11429282
"DL-Histidine, 15N","180821_Smp_MS13C2175m_B",12206376
"DL-Histidine, 15N","180821_Smp_MS13C2175m_C",7933132
