Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Internal Stds_neg,180821_Std_4uMStdsMix1InH2O_1,"Adenosine Monophosphate, 15N5",11.28,0,0,0,#N/A,Internal Stds_neg
Internal Stds_neg,180821_Std_4uMStdsMix1InH2O_2,"Adenosine Monophosphate, 15N5",11.37,0,0,0,#N/A,Internal Stds_neg
Internal Stds_neg,180821_Std_4uMStdsMix1InH2O_3,"Adenosine Monophosphate, 15N5",11.35,0,0,0,#N/A,Internal Stds_neg
Internal Stds_neg,180821_Std_4uMStdsMix1InMatrix_1,"Adenosine Monophosphate, 15N5",11.95,19024686,0,1627934,1.4,Internal Stds_neg
Internal Stds_neg,180821_Std_4uMStdsMix1InMatrix_2,"Adenosine Monophosphate, 15N5",11.97,20172556,0,1168192,0.5,Internal Stds_neg
Internal Stds_neg,180821_Std_4uMStdsMix1InMatrix_3,"Adenosine Monophosphate, 15N5",11.87,30274174,0,1106605,0.8,Internal Stds_neg
Internal Stds_neg,180821_Std_4uMStdsMix2InH2O_1,"Adenosine Monophosphate, 15N5",11.33,0,0,0,#N/A,Internal Stds_neg
Internal Stds_neg,180821_Std_4uMStdsMix2InH2O_2,"Adenosine Monophosphate, 15N5",11.47,0,0,0,#N/A,Internal Stds_neg
Internal Stds_neg,180821_Std_4uMStdsMix2InH2O_3,"Adenosine Monophosphate, 15N5",11.47,0,0,0,#N/A,Internal Stds_neg
Internal Stds_neg,180821_Std_4uMStdsMix2InMatrix_1,"Adenosine Monophosphate, 15N5",12.05,19022326,0,1443126,1.9,Internal Stds_neg
Internal Stds_neg,180821_Std_4uMStdsMix2InMatrix_2,"Adenosine Monophosphate, 15N5",12.01,23546754,0,1347292,0.5,Internal Stds_neg
Internal Stds_neg,180821_Std_4uMStdsMix2InMatrix_3,"Adenosine Monophosphate, 15N5",11.91,26305088,1741858,1349671,0.6,Internal Stds_neg
Internal Stds_neg,180821_Std_H2OInMatrix_1,"Adenosine Monophosphate, 15N5",12.08,20480644,0,1587041,2.1,Internal Stds_neg
Internal Stds_neg,180821_Std_H2OInMatrix_2,"Adenosine Monophosphate, 15N5",11.92,18046402,0,1153057,0.5,Internal Stds_neg
Internal Stds_neg,180821_Std_H2OInMatrix_3,"Adenosine Monophosphate, 15N5",11.73,29365910,0,1100138,0.7,Internal Stds_neg
Internal Stds_neg,180821_Blk_FilterBlank_1,"Adenosine Monophosphate, 15N5",11.49,35892728,0,1507665,1.1,Internal Stds_neg
Internal Stds_neg,180821_Blk_MQBlk_1,"Adenosine Monophosphate, 15N5",12.21,12905796,0,920382,2.2,Internal Stds_neg
Internal Stds_neg,180821_Blk_MQBlk_2,"Adenosine Monophosphate, 15N5",12.05,14404198,0,1064049,1.2,Internal Stds_neg
Internal Stds_neg,180821_Blk_MQBlk_3,"Adenosine Monophosphate, 15N5",11.7,26966186,0,1331339,0.9,Internal Stds_neg
Internal Stds_neg,180821_Blk_SWBlk_1,"Adenosine Monophosphate, 15N5",12.41,10716491,0,727117,2.3,Internal Stds_neg
Internal Stds_neg,180821_Blk_SWBlk_2,"Adenosine Monophosphate, 15N5",12.18,13029078,0,885146,1.3,Internal Stds_neg
Internal Stds_neg,180821_Blk_SWBlk_3,"Adenosine Monophosphate, 15N5",11.95,19493336,0,968390,1.1,Internal Stds_neg
Internal Stds_neg,180821_Poo_Day1and2Poo_Full1,"Adenosine Monophosphate, 15N5",12.24,16620040,0,1274372,2,Internal Stds_neg
Internal Stds_neg,180821_Poo_Day1and2Poo_Full2,"Adenosine Monophosphate, 15N5",12.32,7993634,69490,626210,2,Internal Stds_neg
Internal Stds_neg,180821_Poo_Day1and2Poo_Full3,"Adenosine Monophosphate, 15N5",12.24,11003334,0,768459,2,Internal Stds_neg
Internal Stds_neg,180821_Poo_Day1and2Poo_Full4,"Adenosine Monophosphate, 15N5",12.15,11924971,0,886133,1.7,Internal Stds_neg
Internal Stds_neg,180821_Poo_Day1and2Poo_Full5,"Adenosine Monophosphate, 15N5",12.04,17191438,0,948994,1.5,Internal Stds_neg
Internal Stds_neg,180821_Poo_Day1and2Poo_Full6,"Adenosine Monophosphate, 15N5",11.92,22658090,0,1095626,1,Internal Stds_neg
