feature,feat_class,pred_class,x,y,fdr_pval_byclass,resp_class,error_type
FT0004,Bad,Good,0.17515151515151506,0.014242424242424168,0.12399378840511452,All equal,Bad peak included
FT0005,Bad,Good,0.041212121212121255,0.042424242424242475,0.790261753376259,All equal,Bad peak included
FT0006,Bad,Good,0.005454545454545379,-0.0033333333333334103,0.9966630639182616,All equal,Bad peak included
FT0007,Bad,Bad,-0.09272727272727277,0.1106060606060606,0.6921071887013032,All equal,Bad peak avoided
FT0008,Bad,Bad,-0.056969696969697003,-0.003030303030303161,0.9653713299836012,All equal,Bad peak avoided
FT0009,Bad,Bad,-0.024848484848484897,0.08696969696969692,0.8674524610357536,All equal,Bad peak avoided
FT0010,Bad,Bad,0.029696969696969777,0.022121212121212208,0.9914008451586125,All equal,Bad peak avoided
FT0013,Bad,Bad,0.0018181818181817189,0.03545454545454518,0.9914008451586125,All equal,Bad peak avoided
FT0014,Bad,Bad,-0.011515151515151478,0.03787878787878807,0.9884830418324115,All equal,Bad peak avoided
FT0015,Bad,Bad,-0.026060606060606006,0.049393939393939545,0.9640948688953794,All equal,Bad peak avoided
FT0016,Bad,Bad,-0.040000000000000036,0.024848484848484897,0.984945181542457,All equal,Bad peak avoided
FT0017,Bad,Bad,-0.0884848484848485,0.044848484848484915,0.8674524610357536,All equal,Bad peak avoided
FT0018,Bad,Bad,-0.015151515151515138,0.045151515151515165,0.9693904539387511,All equal,Bad peak avoided
FT0019,Bad,Bad,-0.10424242424242425,0.022424242424242458,0.8674524610357536,All equal,Bad peak avoided
FT0020,Bad,Bad,0.015151515151515138,0.12151515151515158,0.789777735759117,All equal,Bad peak avoided
FT0022,Bad,Bad,-0.027272727272727226,0.10212121212121206,0.8568722947591318,All equal,Bad peak avoided
FT0023,Bad,Bad,-0.055151515151515174,0.1299999999999999,0.6778614532827388,All equal,Bad peak avoided
FT0024,Bad,Bad,0.035757575757575655,0.12090909090909085,0.7799981088215006,All equal,Bad peak avoided
FT0026,Good,Good,0.47272727272727266,0.15999999999999992,6.917307329421647e-9,DCM > 15m > 175m,Good peak found
FT0028,Bad,Bad,-0.051515151515151514,-0.032424242424242244,0.9606884258628056,All equal,Bad peak avoided
FT0029,Bad,Bad,-0.11212121212121218,-0.020909090909090988,0.8591955141468096,All equal,Bad peak avoided
FT0031,Bad,Bad,0.020000000000000018,-0.010000000000000009,0.9941730824496712,All equal,Bad peak avoided
FT0032,Bad,Bad,0.09575757575757571,-0.08060606060606057,0.8368873104995725,All equal,Bad peak avoided
FT0033,Bad,Bad,-0.043030303030302974,0.012424242424242449,0.9884830418324115,All equal,Bad peak avoided
FT0034,Bad,Bad,0.08242424242424251,0.048484848484848575,0.8703503246617553,All equal,Bad peak avoided
FT0036,Bad,Bad,0.030303030303030276,0.0072727272727273196,0.9941730824496712,All equal,Bad peak avoided
FT0039,Bad,Bad,-0.19696969696969702,0.00818181818181829,0.36787509956558906,DCM < 15m = 175m,Bad peak avoided
FT0040,Bad,Bad,-0.009090909090909038,-0.0021212121212119683,0.9993559284383016,All equal,Bad peak avoided
FT0043,Bad,Bad,-0.12363636363636366,0.01575757575757586,0.8568722947591318,All equal,Bad peak avoided
FT0044,Bad,Bad,0.01696969696969708,-0.036363636363636154,0.9884830418324115,All equal,Bad peak avoided
FT0045,Bad,Bad,0.01090909090909098,0.054545454545454675,0.9606884258628056,All equal,Bad peak avoided
FT0047,Bad,Bad,-0.0036363636363636598,0.014545454545454639,0.9964663080015309,All equal,Bad peak avoided
FT0048,Bad,Bad,0.00121212121212122,0.0242424242424244,0.9941730824496712,All equal,Bad peak avoided
FT0049,Bad,Bad,-0.00303030303030305,0.005151515151515129,0.9993559284383016,All equal,Bad peak avoided
FT0050,Bad,Bad,-0.033939393939393936,-6.060606060604989e-4,0.9914008451586125,All equal,Bad peak avoided
FT0051,Bad,Bad,0.05878787878787883,0.11484848484848476,0.7772876409790769,All equal,Bad peak avoided
FT0052,Bad,Bad,0.12969696969696964,0.026666666666666616,0.8368873104995725,All equal,Bad peak avoided
FT0054,Bad,Bad,0.15636363636363626,0.038181818181818095,0.6498194444168177,All equal,Bad peak avoided
FT0055,Bad,Bad,0.14121212121212112,0.041515151515151505,0.753611550383982,All equal,Bad peak avoided
FT0059,Bad,Bad,0.017575757575757578,0.010000000000000009,0.9942649093463045,All equal,Bad peak avoided
FT0061,Bad,Bad,-0.053333333333333344,0.029090909090909056,0.9627281000918934,All equal,Bad peak avoided
FT0063,Bad,Bad,-0.043030303030303085,0.00696969696969707,0.9884830418324115,All equal,Bad peak avoided
FT0064,Bad,Bad,-0.027878787878787836,-0.01696969696969708,0.9914008451586125,All equal,Bad peak avoided
FT0065,Bad,Bad,0.01696969696969708,-0.031515151515151496,0.9914008451586125,All equal,Bad peak avoided
FT0066,Bad,Bad,0.09575757575757571,-0.08606060606060595,0.8093060190188877,All equal,Bad peak avoided
FT0067,Bad,Bad,0.023030303030302957,0.10666666666666669,0.8568722947591318,All equal,Bad peak avoided
FT0068,Bad,Bad,-0.0884848484848485,0.044242424242424194,0.8674524610357536,All equal,Bad peak avoided
FT0069,Bad,Bad,-0.018787878787878798,0.08636363636363642,0.8674524610357536,All equal,Bad peak avoided
FT0071,Bad,Bad,-0.036969696969696986,0.05060606060606054,0.9499194929590716,All equal,Bad peak avoided
FT0072,Bad,Bad,-0.015151515151515138,-0.036060606060606126,0.9884830418324115,All equal,Bad peak avoided
FT0073,Bad,Bad,-0.2709090909090909,0.009393939393939288,0.03958473103341401,DCM < 15m = 175m,Bad peak avoided
FT0074,Bad,Bad,-0.0018181818181818299,0.09727272727272718,0.8674524610357536,All equal,Bad peak avoided
FT0075,Bad,Bad,-0.023636363636363678,-0.014242424242424168,0.9941730824496712,All equal,Bad peak avoided
FT0076,Bad,Bad,0.07757575757575763,-0.06000000000000005,0.8674524610357536,All equal,Bad peak avoided
FT0078,Bad,Bad,-0.18181818181818188,-0.00242424242424244,0.4910952496822716,All equal,Bad peak avoided
FT0080,Bad,Bad,-0.12303030303030305,-0.039696969696969786,0.8429821921175052,All equal,Bad peak avoided
FT0081,Bad,Bad,-0.08969696969696972,-0.01333333333333342,0.905116864980596,All equal,Bad peak avoided
FT0083,Bad,Bad,-0.047878787878787854,0.016666666666666607,0.9783354463143243,All equal,Bad peak avoided
FT0084,Bad,Bad,0.027272727272727337,-0.021515151515151487,0.9914008451586125,All equal,Bad peak avoided
FT0085,Good,Good,0.46484848484848484,0.12818181818181817,2.9419078810002634e-8,DCM > 15m = 175m,Good peak found
FT0086,Bad,Bad,0.28787878787878785,0.10696969696969694,0.007075114298512813,DCM > 15m = 175m,Bad peak avoided
FT0087,Bad,Bad,-0.08909090909090911,0.004545454545454408,0.9111365485677579,All equal,Bad peak avoided
FT0088,Bad,Bad,0.3490909090909091,0.010303030303030258,0.0013505080875707873,DCM > 15m = 175m,Bad peak avoided
FT0089,Bad,Bad,0.3478787878787879,0.12727272727272743,3.425307702063345e-4,DCM > 15m = 175m,Bad peak avoided
